Level,Total,Basic,Service,Retail
1ft,50350.71209,10352.5337,30967.03432,9031.144071
2ft,56809.4523,12030.69959,34491.49674,10287.25597
3ft,71631.82191,15479.72902,42270.67524,13881.41764
4ft,130212.3142,29137.71246,76239.3395,24835.26226
5ft,229816.7617,51138.62122,132356.6527,46321.48776
6ft,311505.8388,68037.3542,178999.523,64468.96158
Total,2378383.915,638633.9892,1222445.939,517303.9869
