O,D,DIFF
11.0,201.0,-107.05000000000001
11.0,213.0,-105.719998
11.0,214.0,-103.08999599999999
11.0,215.0,-261.11001600000003
11.0,316.0,-112.150002
11.0,318.0,-220.16000400000001
12.0,215.0,-127.11
12.0,318.0,-105.18
143.0,215.0,-153.04000100000002
143.0,318.0,-122.70999900000001
143.0,424.0,-118.460003
163.0,424.0,-102.07
164.0,424.0,-125.810002
172.0,424.0,-203.78000600000001
177.0,424.0,-295.009995
177.0,438.0,-118.049995
178.0,424.0,-164.26000200000001
178.0,961.0,-121.61999499999999
178.0,966.0,-100.68
201.0,202.0,-3085.080078
201.0,203.0,-576.290009
201.0,206.0,-135.269997
201.0,209.0,-218.480004
201.0,210.0,-215.480004
201.0,212.0,-103.070003
201.0,215.0,-196.529998
201.0,261.0,-126.91999799999999
202.0,213.0,-299.349991
202.0,214.0,-299.710006
202.0,215.0,-620.050018
202.0,302.0,-112.39000300000001
202.0,316.0,-203.019989
202.0,318.0,-229.369995
203.0,213.0,-202.309998
203.0,214.0,-182.09000300000002
203.0,215.0,-341.240005
204.0,215.0,-218.45001200000002
206.0,213.0,-120.600003
206.0,214.0,-135.33000199999998
206.0,215.0,-319.619996
206.0,316.0,-139.5
206.0,318.0,-229.899993
209.0,213.0,-180.430001
209.0,214.0,-144.449997
209.0,215.0,-330.629989
21.0,215.0,-116.839997
21.0,318.0,-113.570003
210.0,213.0,-361.300003
210.0,214.0,-408.960007
210.0,215.0,-740.9400330000001
210.0,316.0,-161.60999299999997
210.0,318.0,-163.96999399999999
211.0,213.0,-270.339996
211.0,214.0,-321.39
211.0,215.0,-691.140014
211.0,316.0,-129.639999
211.0,318.0,-124.229996
212.0,213.0,-200.47000100000002
212.0,214.0,-326.24002100000007
212.0,215.0,-693.98999
212.0,316.0,-131.400009
212.0,318.0,-173.720001
213.0,214.0,-435.22997999999995
213.0,215.0,-585.25
213.0,223.0,-177.07
213.0,261.0,-127.050003
213.0,302.0,-50.139998999999996
213.0,303.0,-301.520004
213.0,304.0,-148.29998799999998
213.0,305.0,-118.700001
213.0,306.0,-116.380001
213.0,307.0,-209.29999500000002
213.0,308.0,-167.419998
213.0,309.0,-107.549999
213.0,312.0,-112.52000000000001
213.0,313.0,-109.129997
213.0,317.0,-132.07
213.0,318.0,-109.939999
213.0,320.0,-108.150001
213.0,321.0,-186.06000500000002
213.0,442.0,-124.18
213.0,443.0,-169.41999800000002
214.0,215.0,-1006.5900270000001
214.0,223.0,-231.740005
214.0,224.0,-134.279998
214.0,228.0,-105.759998
214.0,229.0,-103.17999599999999
214.0,261.0,-124.970002
214.0,303.0,-166.53999299999998
214.0,307.0,-144.379998
214.0,316.0,-164.98999700000002
214.0,318.0,-174.479995
214.0,319.0,-124.389995
214.0,320.0,-146.309998
214.0,321.0,-263.299988
214.0,443.0,-113.009998
215.0,216.0,-153.149994
215.0,219.0,-100.840004
215.0,223.0,-793.3100589999999
215.0,224.0,-390.269989
215.0,226.0,-111.96999299999999
215.0,227.0,-150.370003
215.0,228.0,-325.889999
215.0,229.0,-304.630005
215.0,230.0,-273.26001
215.0,232.0,-214.14
215.0,236.0,-164.74999200000002
215.0,257.0,-103.860004
215.0,260.0,-108.200001
215.0,261.0,-314.009994
215.0,263.0,-121.68
215.0,265.0,-130.720001
215.0,302.0,-170.800004
215.0,303.0,-410.199997
