"","O","D","Diff"
"1353",179,261,-44
"1354",180,261,-23
"1355",182,261,-30
"1356",183,261,-30
"1357",184,261,-29
"1358",185,261,-25
"1359",186,261,-25
"1360",188,261,-23
"1361",189,261,-31
"1362",190,195,-22
"1363",190,261,-27
"1364",191,96,-22
"1365",191,261,-23
"1366",192,195,-36
"1367",192,261,-23
"1368",193,261,-25
"1369",195,95,-34
"1370",195,190,-22
"1371",195,192,-36
"1372",195,261,-21
"1373",196,198,-72
"1374",197,261,-25
"1375",197,420,-73
"1376",198,196,-72
"1377",198,261,-24
"1378",198,420,-29
"1379",199,95,-25
"1380",199,261,-22
"1381",199,420,-136
"1382",199,422,-141
"1383",201,77,-21.9
"1384",201,78,-23.610001
"1385",201,79,-35
"1386",201,202,-379.200012
"1387",201,203,-71.139999
"1388",201,209,-27.389999
"1389",201,210,-27.610001
"1390",201,215,-25.349998
"1391",202,201,-362.170013
"1392",202,213,-36.48
"1393",202,214,-36.970001
"1394",202,215,-76.650002
"1395",202,316,-25.34
"1396",202,318,-28.66
"1397",203,11,-21
"1398",203,34,-21
"1399",203,70,-23
"1400",203,79,-186
"1401",203,201,-69.540001
"1402",203,206,-26
"1403",203,209,-77
"1404",203,213,-24.42
"1405",203,214,-22.43
"1406",203,215,-42.009998
"1407",203,261,-32
"1408",204,71,-40
"1409",204,206,-433
"1410",204,207,-57.629999
"1411",204,215,-25.279999
"1412",205,1,-45
"1413",205,2,-34
"1414",205,3,-21
"1415",205,11,-30
"1416",205,20,-24
"1417",205,21,-46
"1418",205,22,-121
"1419",205,25,-26
"1420",205,29,-24
"1421",205,70,-35
"1422",205,72,-27
"1423",205,206,-265
"1424",205,207,-140
"1425",206,1,-51
"1426",206,2,-36
"1427",206,3,-30
"1428",206,11,-41
"1429",206,16,-21
"1430",206,21,-22
"1431",206,22,-96
"1432",206,25,-30
"1433",206,29,-21
"1434",206,41,-21
"1435",206,69,-20
"1436",206,70,-49
"1437",206,71,-28
"1438",206,72,-163
"1439",206,73,-106
"1440",206,78,-21
"1441",206,79,-30
"1442",206,84,-21
"1443",206,86,-21
"1444",206,203,-26
"1445",206,204,-433
"1446",206,205,-265
"1447",206,207,-364
"1448",206,208,-323
"1449",206,215,-37.429996
"1450",206,216,-28
"1451",206,217,-75
"1452",206,218,-75
"1453",206,220,-45
"1454",206,318,-26.98
"1455",207,1,-30
"1456",207,2,-33
"1457",207,11,-48
"1458",207,16,-23
"1459",207,21,-33
"1460",207,22,-28
"1461",207,25,-35
"1462",207,29,-24
"1463",207,34,-24
"1464",207,41,-24
"1465",207,70,-57
"1466",207,71,-22
"1467",207,204,-58.76
"1468",207,205,-140
"1469",207,206,-364
"1470",207,208,-142
"1471",207,210,-35.399998
"1472",207,211,-168.34
"1473",207,212,-80.459999
"1474",207,216,-36
"1475",207,217,-27
"1476",207,218,-31
"1477",207,221,-27
"1478",208,1,-41
"1479",208,2,-43
"1480",208,3,-20
"1481",208,11,-68
"1482",208,12,-23
"1483",208,16,-31
"1484",208,18,-24
"1485",208,20,-23
"1486",208,21,-39
"1487",208,22,-44
"1488",208,25,-49
"1489",208,26,-20
"1490",208,28,-21
"1491",208,29,-32
"1492",208,31,-22
"1493",208,34,-31
"1494",208,37,-21
"1495",208,41,-34
"1496",208,42,-22
"1497",208,206,-323
"1498",208,207,-142
"1499",209,5,-26
"1500",209,11,-25
"1501",209,18,-25
"1502",209,19,-53
"1503",209,20,-45
"1504",209,21,-102
"1505",209,22,-20
"1506",209,23,-85
"1507",209,27,-21
"1508",209,29,-20
"1509",209,34,-23
"1510",209,37,-43
"1511",209,70,-23
"1512",209,79,-50
"1513",209,201,-26.259998
"1514",209,203,-77
"1515",209,210,-22
"1516",209,213,-20.860001
"1517",209,215,-39.079998
"1518",209,261,-25
"1519",210,5,-65
"1520",210,16,-44
"1521",210,18,-64
"1522",210,20,-162
"1523",210,21,-360
"1524",210,27,-32
"1525",210,79,-47
"1526",210,201,-26.76
"1527",210,207,-35.369999
"1528",210,209,-22
"1529",210,213,-42.100002
"1530",210,214,-48.209999
"1531",210,215,-87.600006
"1532",211,79,-35
"1533",211,207,-167.860001
"1534",211,213,-31.08
"1535",211,214,-155.379997
"1536",211,215,-79.950005
"1537",212,207,-80.280001
"1538",212,213,-23.990002
"1539",212,214,-38.939999
"1540",212,215,-82.43
"1541",212,318,-21.030001
"1542",213,79,-21.02
"1543",213,202,-38.5
"1544",213,203,-24.940001
"1545",213,209,-22.040001
"1546",213,210,-44.010002
"1547",213,211,-32.779999
"1548",213,212,-24.629999
"1549",213,214,-51.66
"1550",213,215,-70.389999
"1551",213,223,-21.83
"1552",213,303,-199.639999
"1553",213,307,-25.9
"1554",213,308,-20.42
"1555",213,321,-22.809999
"1556",214,202,-38.91
"1557",214,203,-22.459999
"1558",214,210,-49.640003
"1559",214,211,-156.630001
"1560",214,212,-39.330002
"1561",214,213,-50.57
"1562",214,215,-181.449997
"1563",214,223,-28.360001
"1564",214,303,-20.759998
"1565",214,318,-21.09
"1566",214,321,-32.049999
"1567",215,11,-33.410004
"1568",215,25,-22.059999
"1569",215,34,-29.68
"1570",215,70,-22.690001
"1571",215,71,-25.739998
"1572",215,73,-24.439999
"1573",215,77,-34.09
"1574",215,78,-30.34
"1575",215,79,-42.350002
"1576",215,143,-20.01
"1577",215,201,-25.380001
"1578",215,202,-81.299995
"1579",215,203,-42.650002
"1580",215,204,-27.130001
"1581",215,206,-42.279999
"1582",215,209,-40.800003
"1583",215,210,-91.050003
"1584",215,211,-83.690002
"1585",215,212,-84.430008
"1586",215,213,-69.900002
"1587",215,214,-183.07
"1588",215,216,-20.5
"1589",215,223,-96.450005
"1590",215,224,-48.529999
"1591",215,228,-40.340004
"1592",215,229,-38.830002
"1593",215,230,-35.239998
"1594",215,232,-27.230001
"1595",215,236,-21.549999
"1596",215,261,-40.489998
"1597",215,302,-20.15
"1598",215,303,-51.66
"1599",215,304,-35.509998
"1600",215,305,-26.130001
"1601",215,306,-39.549999
"1602",215,307,-61.660004
"1603",215,308,-48.310001
"1604",215,309,-30.679998
"1605",215,310,-26.130001
"1606",215,311,-46.980003
"1607",215,312,-47.759998
"1608",215,313,-37.439999
"1609",215,314,-30.030001
"1610",215,315,-30.450001
"1611",215,316,-102.110001
"1612",215,317,-52.619999
"1613",215,318,-102.110001
"1614",215,319,-46.59
"1615",215,320,-53.349998
"1616",215,321,-85.699997
"1617",215,323,-28.650002
"1618",215,324,-27.700001
"1619",215,325,-27.959999
"1620",215,327,-25.419998
"1621",215,442,-26.379999
"1622",215,443,-46.279999
"1623",215,444,-21.110001
"1624",215,449,-32.259998
"1625",215,450,-28
"1626",215,467,-27.110001
"1627",215,472,-22.26
"1628",216,72,-165
"1629",216,84,-41
"1630",216,86,-26
"1631",216,206,-28
"1632",216,207,-36
"1633",216,243,-23
"1634",217,1,-23
"1635",217,2,-22
"1636",217,11,-39
"1637",217,21,-22
"1638",217,22,-24
"1639",217,25,-29
"1640",217,86,-37
"1641",217,206,-75
"1642",217,207,-27
"1643",218,1,-21
"1644",218,11,-28
"1645",218,22,-28
"1646",218,25,-34
"1647",218,29,-23
"1648",218,34,-20
"1649",218,41,-26
"1650",218,84,-87
"1651",218,86,-98
"1652",218,206,-75
"1653",218,207,-31
"1654",219,11,-28
"1655",219,22,-56
"1656",219,25,-34
"1657",219,29,-22
"1658",219,34,-22
"1659",219,41,-25
"1660",219,237,-26
"1661",219,243,-21
"1662",219,247,-22
"1663",220,1,-30
"1664",220,2,-28
"1665",220,11,-37
"1666",220,16,-28
"1667",220,22,-46
"1668",220,25,-50
"1669",220,26,-21
"1670",220,28,-22
"1671",220,29,-33
"1672",220,31,-23
"1673",220,34,-26
"1674",220,41,-38
"1675",220,42,-24
"1676",220,84,-115
"1677",220,86,-160
"1678",220,206,-45
"1679",220,257,-23
"1680",221,207,-27
"1681",222,86,-107
"1682",223,213,-21.48
"1683",223,214,-28.309999
"1684",223,215,-94.93
"1685",223,316,-27.549999
"1686",223,318,-49.940002
"1687",224,215,-47.290001
"1688",224,318,-29.4
"1689",225,16,-23
"1690",225,22,-467
"1691",227,22,-86
"1692",228,215,-39.68
"1693",228,318,-22.190001
"1694",229,22,-227
"1695",229,215,-36.900002
"1696",229,318,-27.529999
"1697",230,215,-32.43
"1698",230,318,-25.99
"1699",231,1,-34
"1700",231,2,-36
"1701",231,11,-43
"1702",231,16,-36
"1703",231,21,-26
"1704",231,22,-92
"1705",231,23,-21
"1706",231,25,-61
"1707",231,26,-25
"1708",231,28,-28
"1709",231,29,-41
"1710",231,31,-27
"1711",231,33,-23
"1712",231,34,-32
"1713",231,37,-26
"1714",231,38,-20
"1715",231,40,-26
"1716",231,41,-68
"1717",231,42,-35
"1718",231,237,-30
"1719",231,243,-45
"1720",231,244,-22
"1721",231,246,-45
"1722",231,247,-58
"1723",231,257,-47
"1724",232,1,-30
"1725",232,2,-21
"1726",232,5,-20
"1727",232,11,-44
"1728",232,21,-32
"1729",232,22,-35
"1730",232,25,-45
"1731",232,26,-23
"1732",232,27,-21
"1733",232,29,-25
"1734",232,31,-26
"1735",232,34,-46
"1736",232,41,-39
"1737",232,42,-23
"1738",232,84,-24
"1739",232,88,-20
"1740",232,215,-25.459999
"1741",232,237,-33
"1742",232,242,-21
"1743",232,243,-126
"1744",232,244,-44
"1745",232,245,-31
"1746",232,246,-141
"1747",232,247,-166
"1748",232,250,-27
"1749",232,253,-22
"1750",232,257,-38
"1751",232,259,-30
"1752",232,261,-55
"1753",232,263,-63
"1754",232,265,-56
"1755",233,239,-34
"1756",234,239,-23
"1757",236,215,-20.190001
"1758",237,34,-25
"1759",237,219,-26
"1760",237,231,-30
"1761",237,232,-33
"1762",238,11,-44
"1763",238,12,-32
"1764",238,23,-22
"1765",238,25,-24
"1766",238,34,-41
"1767",238,240,-57
"1768",238,261,-82
"1769",239,11,-31
"1770",239,25,-22
"1771",239,34,-33
"1772",239,233,-34
"1773",239,234,-23
"1774",239,240,-42
"1775",239,241,-31
"1776",239,261,-48
"1777",240,238,-57
"1778",240,239,-42
"1779",240,256,-29
"1780",241,239,-31
"1781",241,256,-31
"1782",242,11,-26
"1783",242,232,-21
"1784",242,248,-77
"1785",242,251,-23
"1786",242,261,-96
"1787",243,216,-23
"1788",243,219,-21
"1789",243,231,-45
"1790",243,232,-126
"1791",243,261,-471
"1792",244,231,-22
"1793",244,232,-44
"1794",245,232,-31
"1795",245,261,-174
"1796",246,1,-93
"1797",246,2,-74
"1798",246,3,-33
"1799",246,4,-29
"1800",246,11,-55
"1801",246,12,-24
"1802",246,16,-73
"1803",246,17,-25
"1804",246,18,-45
"1805",246,20,-31
"1806",246,22,-111
"1807",246,23,-32
"1808",246,24,-45
"1809",246,25,-107
"1810",246,26,-41
"1811",246,28,-47
"1812",246,29,-71
"1813",246,30,-37
"1814",246,31,-43
"1815",246,33,-42
"1816",246,38,-33
"1817",246,39,-37
"1818",246,40,-46
"1819",246,41,-99
"1820",246,42,-49
"1821",246,47,-20
"1822",246,50,-34
"1823",246,52,-28
"1824",246,57,-25
"1825",246,231,-45
"1826",246,232,-141
"1827",246,261,-100
"1828",247,2,-46
"1829",247,22,-56
"1830",247,25,-49
"1831",247,28,-26
"1832",247,29,-38
"1833",247,33,-22
"1834",247,34,-34
"1835",247,41,-49
"1836",247,219,-22
"1837",247,231,-58
"1838",247,232,-166
"1839",247,261,-90
"1840",248,34,-52
"1841",248,35,-32
"1842",248,84,-21
"1843",248,103,-33
"1844",248,242,-77
"1845",248,261,-347
"1846",248,266,-50
"1847",249,34,-34
"1848",249,103,-20
"1849",249,261,-124
"1850",249,266,-28
"1851",250,232,-27
"1852",250,261,-29
"1853",251,8,-23
"1854",251,9,-26
"1855",251,10,-20
"1856",251,32,-21
"1857",251,34,-69
"1858",251,103,-30
"1859",251,143,-25
"1860",251,242,-23
"1861",251,261,-128
"1862",251,266,-28
"1863",251,289,-26
"1864",252,34,-41
"1865",252,261,-94
"1866",252,266,-21
"1867",252,289,-30
"1868",253,9,-23
"1869",253,34,-61
"1870",253,35,-32
"1871",253,103,-26
"1872",253,232,-22
"1873",253,261,-130
"1874",253,266,-25
"1875",253,289,-30
"1876",254,34,-43
"1877",254,261,-120
"1878",254,266,-21
"1879",254,289,-30
"1880",254,354,-28
"1881",255,34,-26
"1882",255,261,-56
"1883",256,34,-36
"1884",256,240,-29
"1885",256,241,-31
"1886",256,261,-70
"1887",256,353,-21
"1888",256,354,-34
"1889",257,13,-21
"1890",257,34,-49
"1891",257,69,-49
"1892",257,71,-52
"1893",257,220,-23
"1894",257,231,-47
"1895",257,232,-38
"1896",257,258,-42
"1897",257,261,-135
"1898",258,1,-39
"1899",258,2,-27
"1900",258,11,-55
"1901",258,12,-24
"1902",258,16,-23
"1903",258,22,-21
"1904",258,25,-23
"1905",258,34,-20
"1906",258,257,-42
"1907",258,259,-103
"1908",258,260,-35
"1909",258,261,-86
"1910",259,11,-33
"1911",259,232,-30
"1912",259,258,-103
"1913",259,261,-28
"1914",260,13,-34
"1915",260,83,-20
"1916",260,90,-22
"1917",260,152,-32
"1918",260,155,-20
"1919",260,156,-62
"1920",260,158,-45
"1921",260,175,-23
"1922",260,258,-35
"1923",260,266,-62
"1924",260,367,-24
"1925",261,3,-194
"1926",261,4,-120
"1927",261,5,-61
"1928",261,11,-54
"1929",261,13,-75
"1930",261,14,-116
"1931",261,15,-80
"1932",261,37,-25
"1933",261,43,-138
"1934",261,48,-34
"1935",261,49,-34
"1936",261,50,-28
"1937",261,57,-49
"1938",261,58,-69
"1939",261,59,-73
"1940",261,60,-77
"1941",261,61,-123
"1942",261,63,-47
"1943",261,64,-35
"1944",261,65,-88
"1945",261,66,-32
"1946",261,78,-24
"1947",261,79,-33
"1948",261,82,-126
"1949",261,83,-181
"1950",261,84,-71
"1951",261,87,-56
"1952",261,90,-222
"1953",261,91,-69
"1954",261,92,-24
"1955",261,99,-27
"1956",261,104,-47
"1957",261,105,-38
"1958",261,106,-65
"1959",261,108,-27
"1960",261,110,-58
"1961",261,112,-51
"1962",261,113,-44
"1963",261,116,-46
"1964",261,117,-37
"1965",261,120,-33
"1966",261,123,-29
"1967",261,124,-21
"1968",261,130,-37
"1969",261,135,-28
"1970",261,136,-25
"1971",261,137,-21
"1972",261,139,-30
"1973",261,140,-21
"1974",261,141,-23
"1975",261,151,-46
"1976",261,152,-33
"1977",261,154,-32
"1978",261,155,-40
"1979",261,158,-369
"1980",261,159,-22
"1981",261,162,-27
"1982",261,165,-21
"1983",261,167,-26
"1984",261,171,-38
"1985",261,172,-30
"1986",261,173,-30
"1987",261,174,-32
"1988",261,175,-29
"1989",261,176,-35
"1990",261,177,-34
"1991",261,178,-26
"1992",261,179,-44
"1993",261,180,-23
"1994",261,182,-30
"1995",261,183,-30
"1996",261,184,-29
"1997",261,185,-25
"1998",261,186,-25
"1999",261,188,-23
"2000",261,189,-31
"2001",261,190,-27
"2002",261,191,-23
"2003",261,192,-23
"2004",261,193,-25
"2005",261,195,-21
"2006",261,197,-25
"2007",261,198,-24
"2008",261,199,-22
"2009",261,203,-32
"2010",261,209,-25
"2011",261,215,-35.009998
"2012",261,232,-55
"2013",261,238,-82
"2014",261,239,-48
"2015",261,242,-96
"2016",261,243,-471
"2017",261,245,-174
"2018",261,246,-100
"2019",261,247,-90
"2020",261,248,-347
"2021",261,249,-124
"2022",261,250,-29
"2023",261,251,-128
"2024",261,252,-94
"2025",261,253,-130
"2026",261,254,-120
"2027",261,255,-56
"2028",261,256,-70
"2029",261,257,-135
"2030",261,258,-86
"2031",261,259,-28
"2032",261,262,-168
"2033",261,263,-147
"2034",261,264,-329
"2035",261,265,-189
"2036",261,266,-374
"2037",261,267,-49
"2038",261,268,-170
"2039",261,269,-260
"2040",261,270,-36
"2041",261,271,-557
"2042",261,272,-195
"2043",261,273,-268
"2044",261,274,-47
"2045",261,275,-50
"2046",261,279,-108
"2047",261,280,-61
"2048",261,283,-33
"2049",261,284,-55
"2050",261,285,-61
"2051",261,286,-40
"2052",261,287,-103
"2053",261,288,-75
"2054",261,291,-38
"2055",261,292,-34
"2056",261,293,-24
"2057",261,294,-45
"2058",261,295,-30
"2059",261,297,-34
"2060",261,298,-27
"2061",261,299,-49
"2062",261,300,-34
"2063",261,301,-30
"2064",261,318,-28.710001
"2065",261,352,-39
"2066",261,365,-38
"2067",261,366,-33
"2068",261,367,-74
"2069",261,368,-30
"2070",261,392,-34
"2071",261,395,-21
"2072",261,396,-21
"2073",261,398,-29
"2074",261,401,-25
"2075",261,406,-24
"2076",261,407,-20
"2077",261,420,-37
"2078",261,572,-22
"2079",262,261,-168
"2080",263,232,-63
"2081",263,261,-147
"2082",263,367,-24
"2083",264,11,-46
"2084",264,12,-22
"2085",264,261,-329
"2086",264,266,-30
"2087",265,11,-32
"2088",265,13,-20
"2089",265,110,-22
"2090",265,112,-23
"2091",265,232,-56
"2092",265,261,-189
"2093",265,266,-115
"2094",265,367,-29
"2095",266,11,-28
"2096",266,248,-50
"2097",266,249,-28
"2098",266,251,-28
"2099",266,252,-21
"2100",266,253,-25
"2101",266,254,-21
"2102",266,260,-62
"2103",266,261,-374
"2104",266,264,-30
"2105",266,265,-115
"2106",266,269,-38
"2107",266,271,-59
"2108",266,272,-37
"2109",266,273,-36
"2110",266,279,-26
"2111",267,261,-49
"2112",268,11,-25
"2113",268,34,-24
"2114",268,87,-31
"2115",268,88,-177
"2116",268,91,-51
"2117",268,92,-69
"2118",268,94,-47
"2119",268,95,-46
"2120",268,96,-20
"2121",268,101,-43
"2122",268,105,-31
"2123",268,106,-37
"2124",268,261,-170
"2125",268,291,-36
"2126",268,292,-30
"2127",268,293,-20
"2128",269,34,-35
"2129",269,261,-260
"2130",269,266,-38
"2131",270,261,-36
"2132",271,9,-20
"2133",271,13,-21
"2134",271,23,-27
"2135",271,34,-52
"2136",271,35,-28
"2137",271,37,-40
"2138",271,261,-557
"2139",271,266,-59
"2140",272,11,-40
"2141",272,12,-26
"2142",272,25,-20
"2143",272,34,-34
"2144",272,103,-21
"2145",272,261,-195
"2146",272,266,-37
"2147",273,11,-52
"2148",273,12,-32
"2149",273,21,-20
"2150",273,22,-22
"2151",273,23,-27
"2152",273,25,-27
"2153",273,34,-45
"2154",273,35,-23
"2155",273,88,-39
"2156",273,92,-21
"2157",273,102,-26
"2158",273,103,-41
"2159",273,104,-26
"2160",273,105,-47
"2161",273,106,-36
"2162",273,108,-27
"2163",273,110,-27
"2164",273,112,-22
"2165",273,261,-268
"2166",273,266,-36
"2167",273,364,-23
"2168",274,103,-26
"2169",274,104,-37
"2170",274,105,-25
"2171",274,261,-47
"2172",275,11,-28
"2173",275,34,-25
"2174",275,261,-50
"2175",276,104,-22
"2176",276,352,-163
"2177",276,353,-92
"2178",278,104,-22
"2179",279,9,-20
"2180",279,11,-59
"2181",279,12,-46
"2182",279,22,-26
"2183",279,23,-30
"2184",279,25,-31
"2185",279,34,-53
"2186",279,35,-23
"2187",279,37,-44
"2188",279,103,-23
"2189",279,261,-108
"2190",279,266,-26
"2191",279,289,-23
"2192",280,11,-36
"2193",280,12,-24
"2194",280,34,-32
"2195",280,261,-61
"2196",280,290,-28
"2197",280,352,-28
"2198",282,103,-30
"2199",282,104,-120
"2200",282,105,-32
"2201",282,106,-27
"2202",282,107,-27
"2203",282,353,-22
"2204",282,365,-41
"2205",283,261,-33
"2206",283,284,-40
"2207",284,11,-35
"2208",284,12,-22
"2209",284,34,-32
"2210",284,37,-28
"2211",284,103,-33
"2212",284,261,-55
"2213",284,283,-40
"2214",284,285,-44
"2215",284,286,-71
"2216",284,359,-31
"2217",284,365,-50
"2218",284,367,-29
"2219",285,11,-36
"2220",285,12,-24
"2221",285,25,-21
"2222",285,34,-32
"2223",285,261,-61
"2224",285,284,-44
"2225",285,289,-24
"2226",285,290,-200
"2227",285,361,-23
"2228",286,11,-22
"2229",286,34,-21
"2230",286,261,-40
"2231",286,284,-71
"2232",287,11,-42
"2233",287,12,-21
"2234",287,34,-26
"2235",287,88,-22
"2236",287,95,-25
"2237",287,261,-103
"2238",287,289,-65
"2239",287,290,-66
"2240",287,352,-59
"2241",287,353,-33
"2242",288,11,-34
"2243",288,34,-20
"2244",288,261,-75
"2245",288,289,-127
"2246",288,290,-124
"2247",289,251,-26
"2248",289,252,-30
"2249",289,253,-30
"2250",289,254,-30
"2251",289,279,-23
"2252",289,285,-24
"2253",289,287,-65
"2254",289,288,-127
"2255",290,280,-28
"2256",290,285,-200
"2257",290,287,-66
"2258",290,288,-124
"2259",291,87,-63
"2260",291,261,-38
"2261",291,268,-36
"2262",292,87,-31
"2263",292,261,-34
"2264",292,268,-30
"2265",293,87,-20
"2266",293,261,-24
"2267",293,268,-20
"2268",294,87,-30
"2269",294,261,-45
"2270",295,87,-38
"2271",295,261,-30
"2272",296,87,-28
"2273",297,261,-34
"2274",298,261,-27
"2275",299,45,-20
"2276",299,87,-23
"2277",299,261,-49
"2278",300,11,-25
"2279",300,34,-26
"2280",300,261,-34
"2281",301,261,-30
"2282",302,215,-21.68
"2283",302,303,-48.839996
"2284",302,304,-36.450001
"2285",302,307,-40.470001
"2286",302,308,-41.209999
"2287",302,443,-23.08
"2288",303,213,-198.869999
"2289",303,214,-20.26
"2290",303,215,-49.950001
"2291",303,302,-45.449997
"2292",303,316,-40.610004
"2293",303,318,-49.110001
"2294",304,215,-36.360001
"2295",304,302,-32.950001
"2296",304,316,-21.459999
"2297",304,318,-24.139999
"2298",305,215,-27.610001
"2299",306,215,-39.269997
"2300",306,316,-30.079998
"2301",306,318,-32.380001
"2302",307,213,-25.699999
"2303",307,215,-60.93
"2304",307,302,-36.68
"2305",307,316,-50.489998
"2306",307,318,-49.850002
"2307",308,213,-20.689999
"2308",308,215,-48.93
"2309",308,302,-38.470001
"2310",308,316,-33.630001
"2311",308,318,-39.200005
"2312",309,215,-32.07
"2313",309,316,-20.389999
"2314",309,318,-21.360001
"2315",310,215,-27.92
"2316",311,215,-48.469997
"2317",311,316,-35.810001
"2318",311,318,-33.900002
"2319",312,215,-51
"2320",312,316,-43.149998
"2321",312,318,-39.400002
"2322",313,215,-38.540001
"2323",313,316,-27.800001
"2324",313,318,-29.24
"2325",314,215,-31.420002
"2326",314,316,-21.33
"2327",314,318,-22.379999
"2328",315,215,-32.879997
"2329",316,202,-27.469999
"2330",316,210,-20.58
"2331",316,214,-20.65
"2332",316,215,-105.649994
"2333",316,223,-28.949999
"2334",316,303,-42.48
"2335",316,304,-21.469999
"2336",316,306,-31.299999
"2337",316,307,-52.529999
"2338",316,308,-34.040001
"2339",316,311,-35.779999
"2340",316,312,-40.729996
"2341",316,313,-27.580002
"2342",316,314,-20.75
"2343",316,317,-39.800003
"2344",316,318,-108.969994
"2345",316,319,-54.840004
"2346",316,320,-67.610001
"2347",316,321,-70.489998
"2348",316,443,-24.99
"2349",316,449,-26.27
"2350",317,215,-55.769997
"2351",317,316,-41.669998
"2352",317,318,-41.950001
"2353",318,11,-27.9
"2354",318,34,-25.509998
"2355",318,77,-20.92
"2356",318,202,-31
"2357",318,206,-30.5
"2358",318,210,-21.01
"2359",318,212,-21.949999
"2360",318,214,-21.799999
"2361",318,215,-104.380005
"2362",318,223,-52.23
"2363",318,224,-30.889999
"2364",318,228,-23.280001
"2365",318,229,-29.530001
"2366",318,230,-28.84
"2367",318,261,-33.23
"2368",318,303,-51.049999
"2369",318,304,-24.059999
"2370",318,306,-33.369999
"2371",318,307,-51.52
"2372",318,308,-39.419998
"2373",318,309,-20.76
"2374",318,311,-33.529999
"2375",318,312,-36.990002
"2376",318,313,-28.889999
"2377",318,314,-21.709999
"2378",318,316,-107.340004
"2379",318,317,-39.969997
"2380",318,319,-87.110001
"2381",318,320,-83.120003
"2382",318,321,-97.400002
"2383",318,323,-22.490002
"2384",318,324,-22.66
"2385",318,325,-30.09
"2386",318,327,-23.130001
"2387",318,443,-30.639999
"2388",318,449,-27.130001
"2389",318,467,-24.610001
"2390",318,472,-20.23
"2391",319,215,-47.330002
"2392",319,316,-54.309998
"2393",319,318,-87.220001
"2394",320,215,-54.639999
"2395",320,316,-68.080002
"2396",320,318,-84.379997
"2397",321,213,-22.610001
"2398",321,214,-31.99
"2399",321,215,-85.040001
"2400",321,316,-69.229996
"2401",321,318,-96.130005
"2402",323,22,-196
"2403",323,215,-28.09
"2404",323,318,-21.459999
"2405",324,215,-27.93
"2406",324,318,-22.18
"2407",325,215,-27.579998
"2408",325,318,-29.049999
"2409",327,215,-25.33
"2410",327,318,-22.57
"2411",352,11,-20
"2412",352,261,-39
"2413",352,276,-163
"2414",352,280,-28
"2415",352,287,-59
"2416",353,256,-21
"2417",353,276,-92
"2418",353,282,-22
"2419",353,287,-33
"2420",354,254,-28
"2421",354,256,-34
"2422",359,284,-31
"2423",361,285,-23
"2424",364,104,-60
"2425",364,105,-34
"2426",364,106,-51
"2427",364,107,-98
"2428",364,108,-104
"2429",364,109,-153
"2430",364,111,-141
"2431",364,273,-23
"2432",365,11,-24
"2433",365,95,-24
"2434",365,261,-38
"2435",365,282,-41
"2436",365,284,-50
"2437",366,11,-21
"2438",366,34,-21
"2439",366,105,-23
"2440",366,107,-33
"2441",366,108,-42
"2442",366,109,-27
"2443",366,261,-33
"2444",367,11,-50
"2445",367,12,-25
"2446",367,21,-26
"2447",367,25,-25
"2448",367,34,-38
"2449",367,38,-21
"2450",367,41,-23
"2451",367,45,-22
"2452",367,47,-22
"2453",367,87,-21
"2454",367,88,-46
"2455",367,89,-21
"2456",367,91,-28
"2457",367,92,-29
"2458",367,96,-29
"2459",367,97,-23
"2460",367,105,-36
"2461",367,106,-20
"2462",367,107,-22
"2463",367,108,-39
"2464",367,109,-36
"2465",367,260,-24
"2466",367,261,-74
"2467",367,263,-24
"2468",367,265,-29
"2469",367,284,-29
"2470",367,392,-22
"2471",367,393,-123
"2472",368,108,-23
"2473",368,261,-30
"2474",392,261,-34
"2475",392,367,-22
"2476",393,367,-123
"2477",395,261,-21
"2478",396,261,-21
"2479",398,11,-21
"2480",398,261,-29
"2481",401,261,-25
"2482",406,261,-24
"2483",407,261,-20
"2484",420,11,-23
"2485",420,34,-31
"2486",420,88,-25
"2487",420,94,-26
"2488",420,95,-39
"2489",420,96,-22
"2490",420,174,-46
"2491",420,175,-22
"2492",420,197,-73
"2493",420,198,-29
"2494",420,199,-136
"2495",420,261,-37
"2496",422,199,-141
"2497",422,424,-30.870001
"2498",422,430,-26.439999
"2499",423,961,-20.540001
"2500",424,172,-25.510002
"2501",424,177,-36.389999
"2502",424,178,-20.59
"2503",424,422,-30.110003
"2504",424,425,-60.239998
"2505",424,426,-217.100006
"2506",424,427,-55.839996
"2507",424,428,-25.33
"2508",424,429,-25.550001
"2509",424,430,-53.730003
"2510",424,436,-20.849998
"2511",424,437,-30.16
"2512",424,438,-28.870001
"2513",424,440,-21.370001
"2514",424,441,-25.799999
"2515",424,709,-20.860001
"2516",425,172,-87
"2517",425,175,-28
"2518",425,176,-112
"2519",425,177,-26
"2520",425,424,-57.690002
"2521",425,430,-69.660004
"2522",425,438,-36.98
"2523",425,708,-27.59
"2524",425,713,-21.84
"2525",426,424,-220.940002
"2526",426,430,-105.129997
"2527",426,438,-43.959999
"2528",426,708,-21.27
"2529",427,424,-55.420002
"2530",427,430,-83.75
"2531",427,438,-43.139999
"2532",427,708,-26.67
"2533",427,713,-21.48
"2534",428,424,-26.93
"2535",428,430,-42.459999
"2536",429,424,-26.15
"2537",429,430,-68.779999
"2538",429,438,-26.460001
"2539",430,177,-25.24
"2540",430,422,-27.360001
"2541",430,424,-57.340004
"2542",430,425,-75.910004
"2543",430,426,-108.889999
"2544",430,427,-88.629997
"2545",430,428,-42.52
