O,D,Diff
72,71,-35
71,72,-35
69,79,-35
69,50,-35
50,69,-35
152,32,-35
32,152,-35
211,79,-35
79,211,-35
261,64,-35
64,261,-35
87,59,-35
59,87,-35
151,142,-35
142,151,-35
284,11,-35
11,284,-35
205,70,-35
70,205,-35
151,45,-35
45,151,-35
153,143,-35
143,153,-35
69,47,-35
47,69,-35
260,258,-35
258,260,-35
61,45,-35
45,61,-35
153,150,-36
150,153,-36
43,11,-36
11,43,-36
206,2,-36
2,206,-36
177,34,-36
34,177,-36
216,207,-36
207,216,-36
87,58,-36
58,87,-36
195,192,-36
192,195,-36
285,11,-36
11,285,-36
162,34,-36
34,162,-36
367,109,-36
109,367,-36
150,146,-36
146,150,-36
273,106,-36
106,273,-36
41,13,-36
13,41,-36
231,16,-36
16,231,-36
231,2,-36
2,231,-36
291,268,-36
268,291,-36
280,11,-36
11,280,-36
270,261,-36
261,270,-36
273,266,-36
266,273,-36
256,34,-36
34,256,-36
367,105,-36
105,367,-36
90,43,-36
43,90,-36
420,261,-37
261,420,-37
274,104,-37
104,274,-37
261,117,-37
117,261,-37
159,94,-37
94,159,-37
261,130,-37
130,261,-37
87,48,-37
48,87,-37
246,30,-37
30,246,-37
246,39,-37
39,246,-37
217,86,-37
86,217,-37
69,33,-37
33,69,-37
272,266,-37
266,272,-37
156,9,-37
9,156,-37
87,65,-37
65,87,-37
70,34,-37
34,70,-37
79,20,-37
20,79,-37
268,106,-37
106,268,-37
220,11,-37
11,220,-37
158,11,-38
11,158,-38
220,41,-38
41,220,-38
149,145,-38
145,149,-38
69,1,-38
1,69,-38
22,13,-38
13,22,-38
69,28,-38
28,69,-38
269,266,-38
266,269,-38
291,261,-38
261,291,-38
247,29,-38
29,247,-38
367,34,-38
34,367,-38
295,87,-38
87,295,-38
261,171,-38
171,261,-38
365,261,-38
261,365,-38
257,232,-38
232,257,-38
261,105,-38
105,261,-38
79,39,-38
39,79,-38
72,27,-38
27,72,-38
87,49,-39
49,87,-39
232,41,-39
41,232,-39
120,88,-39
88,120,-39
367,108,-39
258,1,-39
108,367,-39
1,258,-39
352,261,-39
261,352,-39
208,21,-39
21,208,-39
112,11,-39
11,112,-39
94,87,-39
87,94,-39
91,49,-39
49,91,-39
69,2,-39
2,69,-39
71,47,-39
47,71,-39
420,95,-39
95,420,-39
217,11,-39
11,217,-39
273,88,-39
88,273,-39
83,34,-40
34,83,-40
73,39,-40
39,73,-40
284,283,-40
283,284,-40
286,261,-40
261,286,-40
71,204,-40
204,71,-40
272,11,-40
11,272,-40
70,25,-40
25,70,-40
261,155,-40
155,261,-40
70,11,-40
11,70,-40
155,142,-40
142,155,-40
271,37,-40
37,271,-40
238,34,-41
34,238,-41
172,34,-41
34,172,-41
365,282,-41
282,365,-41
91,48,-41
70,5,-41
48,91,-41
5,70,-41
208,1,-41
1,208,-41
216,84,-41
84,216,-41
246,26,-41
26,246,-41
252,34,-41
34,252,-41
273,103,-41
103,273,-41
206,11,-41
11,206,-41
231,29,-41
29,231,-41
60,45,-41
45,60,-41
366,108,-42
108,366,-42
106,87,-42
87,106,-42
240,239,-42
239,240,-42
154,147,-42
147,154,-42
287,11,-42
11,287,-42
50,43,-42
43,50,-42
246,33,-42
33,246,-42
29,13,-42
13,29,-42
258,257,-42
257,258,-42
152,10,-42
10,152,-42
173,95,-43
95,173,-43
69,42,-43
42,69,-43
208,2,-43
2,208,-43
231,11,-43
11,231,-43
77,73,-43
73,77,-43
254,34,-43
34,254,-43
19,13,-43
13,19,-43
268,101,-43
101,268,-43
72,18,-43
18,72,-43
441,436,-43
436,441,-43
70,29,-43
29,70,-43
246,31,-43
31,246,-43
209,37,-43
37,209,-43
208,22,-44
22,208,-44
95,87,-44
87,95,-44
261,113,-44
113,261,-44
45,13,-44
13,45,-44
261,179,-44
179,261,-44
279,37,-44
37,279,-44
71,37,-44
37,71,-44
210,16,-44
16,210,-44
285,284,-44
284,285,-44
232,11,-44
11,232,-44
244,232,-44
232,244,-44
238,11,-44
11,238,-44
72,6,-44
6,72,-44
159,95,-45
95,159,-45
294,261,-45
261,294,-45
273,34,-45
34,273,-45
70,18,-45
18,70,-45
205,1,-45
1,205,-45
151,147,-45
147,151,-45
260,158,-45
246,24,-45
220,206,-45
206,220,-45
158,260,-45
24,246,-45
246,231,-45
231,246,-45
232,25,-45
25,232,-45
78,20,-45
20,78,-45
209,20,-45
20,209,-45
48,43,-45
43,48,-45
243,231,-45
231,243,-45
246,18,-45
18,246,-45
261,151,-46
151,261,-46
247,2,-46
2,247,-46
246,40,-46
40,246,-46
264,11,-46
11,264,-46
367,88,-46
220,22,-46
88,367,-46
22,220,-46
205,21,-46
21,205,-46
151,144,-46
144,151,-46
261,116,-46
116,261,-46
70,31,-46
31,70,-46
127,115,-46
115,127,-46
73,37,-46
37,73,-46
106,103,-46
103,106,-46
268,95,-46
95,268,-46
87,61,-46
61,87,-46
420,174,-46
174,420,-46
232,34,-46
34,232,-46
279,12,-46
12,279,-46
246,28,-47
28,246,-47
210,79,-47
79,210,-47
261,104,-47
104,261,-47
261,63,-47
63,261,-47
273,105,-47
105,273,-47
268,94,-47
94,268,-47
257,231,-47
231,257,-47
274,261,-47
261,274,-47
43,34,-47
34,43,-47
156,146,-48
146,156,-48
71,5,-48
5,71,-48
63,45,-48
45,63,-48
261,239,-48
239,261,-48
207,11,-48
11,207,-48
246,42,-49
42,246,-49
257,34,-49
34,257,-49
267,261,-49
261,267,-49
206,70,-49
70,206,-49
70,39,-49
39,70,-49
257,69,-49
69,257,-49
208,25,-49
25,208,-49
261,57,-49
57,261,-49
79,41,-49
41,79,-49
152,42,-49
42,152,-49
247,25,-49
25,247,-49
165,34,-49
34,165,-49
73,40,-49
40,73,-49
152,8,-49
8,152,-49
299,261,-49
261,299,-49
72,70,-49
70,72,-49
247,41,-49
41,247,-49
79,40,-50
40,79,-50
209,79,-50
79,209,-50
152,9,-50
9,152,-50
220,25,-50
25,220,-50
275,261,-50
261,275,-50
105,103,-50
103,105,-50
365,284,-50
284,365,-50
266,248,-50
248,266,-50
367,11,-50
11,367,-50
261,112,-51
112,261,-51
212,207,-51
207,212,-51
268,91,-51
91,268,-51
69,16,-51
16,69,-51
25,13,-51
13,25,-51
71,39,-51
39,71,-51
206,1,-51
1,206,-51
79,37,-51
37,79,-51
364,106,-51
106,364,-51
72,37,-52
37,72,-52
271,34,-52
34,271,-52
87,43,-52
43,87,-52
158,9,-52
9,158,-52
248,34,-52
34,248,-52
257,71,-52
71,257,-52
39,13,-52
13,39,-52
158,32,-52
32,158,-52
273,11,-52
11,273,-52
49,43,-52
43,49,-52
279,34,-53
34,279,-53
209,19,-53
19,209,-53
70,37,-54
37,70,-54
261,11,-54
11,261,-54
261,232,-55
232,261,-55
284,261,-55
261,284,-55
246,11,-55
11,246,-55
258,11,-55
11,258,-55
71,19,-56
19,71,-56
153,146,-56
146,153,-56
69,31,-56
31,69,-56
261,87,-56
87,261,-56
247,22,-56
22,247,-56
261,255,-56
255,261,-56
69,39,-56
39,69,-56
265,232,-56
232,265,-56
219,22,-56
22,219,-56
207,70,-57
70,207,-57
70,27,-57
27,70,-57
240,238,-57
238,240,-57
23,13,-57
13,23,-57
73,41,-57
41,73,-57
21,13,-58
13,21,-58
59,45,-58
45,59,-58
13,12,-58
12,13,-58
247,231,-58
231,247,-58
261,110,-58
110,261,-58
352,287,-59
287,352,-59
279,11,-59
11,279,-59
90,45,-59
45,90,-59
158,146,-59
146,158,-59
70,40,-59
40,70,-59
271,266,-59
266,271,-59
154,144,-60
144,154,-60
69,25,-60
25,69,-60
364,104,-60
104,364,-60
71,40,-60
40,71,-60
69,34,-60
34,69,-60
261,5,-61
5,261,-61
285,261,-61
261,285,-61
280,261,-61
261,280,-61
231,25,-61
25,231,-61
253,34,-61
34,253,-61
72,20,-62
20,72,-62
266,260,-62
260,266,-62
14,13,-62
13,14,-62
260,156,-62
156,260,-62
71,23,-63
23,71,-63
215,214,-63
214,215,-63
456,451,-63
451,456,-63
152,41,-63
41,152,-63
263,232,-63
232,263,-63
34,13,-63
13,34,-63
291,87,-63
87,291,-63
71,12,-63
12,71,-63
156,34,-64
34,156,-64
70,20,-64
20,70,-64
158,8,-64
8,158,-64
210,18,-64
18,210,-64
72,19,-64
19,72,-64
69,19,-64
19,69,-64
158,143,-64
143,158,-64
261,106,-65
106,261,-65
50,45,-65
45,50,-65
73,19,-65
19,73,-65
210,5,-65
5,210,-65
70,69,-65
69,70,-65
289,287,-65
287,289,-65
69,29,-65
29,69,-65
290,287,-66
287,290,-66
54,43,-66
43,54,-66
15,13,-66
13,15,-66
155,146,-66
146,155,-66
155,150,-67
150,155,-67
73,21,-68
21,73,-68
208,11,-68
11,208,-68
231,41,-68
41,231,-68
69,40,-68
40,69,-68
251,34,-69
34,251,-69
261,58,-69
58,261,-69
268,92,-69
92,268,-69
70,19,-69
19,70,-69
69,37,-69
37,69,-69
261,91,-69
91,261,-69
261,256,-70
256,261,-70
70,23,-71
23,70,-71
69,5,-71
5,69,-71
246,29,-71
29,246,-71
286,284,-71
284,286,-71
261,84,-71
84,261,-71
198,196,-72
196,198,-72
69,23,-73
23,69,-73
71,6,-73
6,71,-73
261,59,-73
59,261,-73
72,23,-73
23,72,-73
79,19,-73
19,79,-73
420,197,-73
197,420,-73
73,23,-73
23,73,-73
246,16,-73
16,246,-73
367,261,-74
261,367,-74
246,2,-74
2,246,-74
261,13,-75
13,261,-75
217,206,-75
206,217,-75
218,206,-75
206,218,-75
79,21,-75
21,79,-75
45,43,-75
43,45,-75
288,261,-75
261,288,-75
152,146,-76
146,152,-76
73,22,-77
22,73,-77
209,203,-77
203,209,-77
248,242,-77
242,248,-77
71,22,-77
22,71,-77
261,60,-77
60,261,-77
79,23,-80
23,79,-80
261,15,-80
15,261,-80
72,22,-81
22,72,-81
426,424,-81
424,426,-81
441,435,-82
435,441,-82
37,13,-82
13,37,-82
261,238,-82
238,261,-82
151,150,-84
150,151,-84
77,70,-84
70,77,-84
209,23,-85
23,209,-85
79,22,-85
22,79,-85
88,43,-86
43,88,-86
227,22,-86
22,227,-86
261,258,-86
258,261,-86
218,84,-87
84,218,-87
155,34,-87
34,155,-87
436,430,-87
430,436,-87
425,172,-87
172,425,-87
261,65,-88
65,261,-88
154,143,-88
143,154,-88
70,41,-89
41,70,-89
261,247,-90
247,261,-90
154,150,-91
150,154,-91
70,22,-91
22,70,-91
91,87,-91
87,91,-91
231,22,-92
22,231,-92
353,276,-92
