O,D,Diff
429,430,-47.779999
429,438,-26.460001
430,177,-25.24
430,422,-27.360001
430,424,-57.340004
430,425,-75.910004
430,426,-108.889999
430,427,-88.629997
430,428,-42.52
430,429,-48.900002
430,432,-27.65
430,433,-38.93
430,434,-32.41
430,435,-44.009998
430,436,-53.25
430,437,-48.880001
430,438,-31.76
430,439,-35.650002
430,440,-35.310001
430,441,-33.150002
430,688,-25.599998
430,709,-24.42
432,430,-27.16
432,438,-21.83
433,430,-38.019997
433,438,-24.780001
434,430,-31.950001
434,438,-22.92
435,430,-41.710003
435,438,-54.540001
435,708,-28.860003
435,713,-22.629999
436,424,-20.77
436,430,-51.98
436,438,-55.030006
436,708,-31.52
436,713,-24.1
437,424,-32.220001
437,430,-49.700001
437,438,-63.519997
438,424,-31.789999
438,425,-40.84
438,426,-47.110001
438,427,-46.639999
438,429,-27.990002
438,430,-33.75
438,432,-23.240002
438,433,-26.209999
438,434,-24.109999
438,435,-58.309998
438,436,-57.099998
438,437,-65.480003
438,439,-38.25
438,440,-29.759998
438,441,-63.279999
438,688,-36.310001
439,430,-34.450001
439,438,-35.660004
439,708,-25.049999
439,713,-20.030001
439,722,-22.76
439,961,-30.890001
439,963,-20.110001
439,966,-24.83
439,969,-25.77
440,424,-22.860001
440,430,-36.040001
440,438,-28.700001
440,708,-23.450001
441,424,-28.200001
441,430,-34.650002
441,438,-62.179996
441,708,-71.18
441,713,-60.560001
442,215,-27.969999
443,213,-21.27
443,215,-49.099998
443,302,-22.289999
443,316,-26.049999
443,318,-32.049999
444,215,-22.549999
449,215,-32
449,316,-25.669998
449,318,-26.439999
450,215,-29.869999
457,730,-20.09
458,730,-26.309999
459,730,-31.820002
460,730,-29.740002
461,730,-58.860001
461,736,-26.120001
461,738,-23.76
461,739,-27.059999
462,730,-21.790001
463,730,-60.41
463,736,-26.4
463,738,-23.25
463,739,-40.510002
464,730,-86.609993
464,736,-33.759998
464,737,-22.9
464,738,-36.830002
464,739,-35.260002
465,730,-27.65
465,738,-28.810001
465,739,-56.82
466,730,-35.880001
466,738,-113.939995
466,739,-254.150009
466,741,-39.550003
466,743,-29.699999
467,215,-27.300001
467,318,-24.41
472,215,-22.309999
472,318,-20.029999
472,730,-21.540001
476,730,-51.389999
476,736,-22.390001
476,739,-21.869999
481,730,-36.990002
484,730,-21.529999
486,730,-21.929998
487,730,-30.02
489,739,-22
490,739,-63.509998
490,743,-24.939999
491,739,-22.85
670,985,-22.279999
684,985,-28.870001
685,985,-28.880001
688,430,-24.819998
688,438,-35.060001
688,708,-27.459999
688,713,-20.4
697,708,-48.459999
697,713,-48.41
698,708,-24.830002
698,713,-23.02
699,708,-26.849998
699,713,-22.940001
700,708,-28.77
700,713,-26.77
701,708,-23.82
701,961,-25.449999
701,963,-21.049999
701,964,-22.15
701,966,-21.880001
702,708,-23.600002
702,713,-22.199999
704,708,-64.990005
704,713,-51.73
704,722,-24.860001
704,961,-28.82
704,963,-24.550001
704,964,-22.870001
704,966,-28.310001
704,969,-20.649998
708,77,-21.4
708,425,-31.740002
708,426,-23.879999
708,427,-30.26
708,435,-32.670002
708,436,-34.650002
708,437,-20.969999
708,439,-28.259998
708,440,-25.83
708,441,-78.080002
708,688,-29.85
708,697,-50.619999
708,698,-26.710001
708,699,-29.32
708,700,-30.740002
708,701,-25.82
708,702,-25.23
708,704,-70.849998
708,709,-330.529999
708,710,-166.770004
708,711,-69.949997
