Z	walk_base	walk_1ft	walk_2ft	walk_3ft	walk_4ft	walk_5ft	walk_6ft
1	0.001338585	0.001268593	0.001231522	0.001213249	0.001040184	0.000172524	0.000000000
2	0.001498296	0.001452366	0.001386491	0.001363385	0.001214526	0.000172391	0.000000000
3	0.001188378	0.001161640	0.001119397	0.001101821	0.000999972	0.000250551	0.000097400
4	0.001585067	0.001552582	0.001488502	0.001463170	0.001207527	0.000459821	0.000233275
5	0.001519108	0.001502585	0.001419635	0.001408911	0.000706523	0.000000000	0.000000000
6	0.002225382	0.002207159	0.002045386	0.002027389	0.000684785	0.000000000	0.000000000
7	0.000000167	0.000000145	0.000000139	0.000000134	0.000000070	0.000000000	0.000000000
8	0.002035017	0.002020984	0.001560812	0.001549783	0.001288994	0.000684503	0.000162733
9	0.002199256	0.002145673	0.001948507	0.001936029	0.001791693	0.000389081	0.000000000
10	0.002264241	0.002028071	0.001882519	0.001871395	0.001744352	0.000186355	0.000000000
11	0.001181662	0.001139402	0.001107702	0.001076814	0.000882203	0.000402081	0.000306035
12	0.001333623	0.001268033	0.001231802	0.001187304	0.001004328	0.000224836	0.000000000
13	0.001408329	0.001349239	0.001325927	0.000820841	0.000000000	0.000000000	0.000000000
14	0.001391418	0.001341864	0.001307839	0.001249435	0.001117023	0.000598032	0.000418335
15	0.001652014	0.001598628	0.001557512	0.001501916	0.001362272	0.000773508	0.000602404
16	0.002201693	0.002164275	0.002086842	0.002049082	0.001891913	0.000817699	0.000628913
17	0.002605792	0.002576511	0.002451835	0.002428144	0.002158766	0.000486897	0.000000000
18	0.002649720	0.002619899	0.002498601	0.002464999	0.002222330	0.000952508	0.000721043
19	0.001542047	0.001506956	0.001460150	0.001424878	0.001314632	0.000811451	0.000636994
20	0.002197764	0.002164410	0.002094667	0.002056115	0.001908382	0.001228527	0.000986806
21	0.002612700	0.002582145	0.002485595	0.002451059	0.002273238	0.001571074	0.001305950
22	0.002719339	0.002695479	0.002573491	0.002546255	0.002328613	0.001643286	0.001379763
23	0.002897205	0.002867269	0.002752612	0.002722261	0.002509196	0.001773001	0.001501375
24	0.002782711	0.002756679	0.002632550	0.002609403	0.001804258	0.000233271	0.000000000
25	0.002542143	0.002519855	0.002363067	0.002340490	0.001396287	0.000000000	0.000000000
26	0.003061738	0.003040735	0.002819587	0.002799025	0.002364120	0.001446063	0.001149687
27	0.002496487	0.002478241	0.002249339	0.002231987	0.001910436	0.001229789	0.001037944
28	0.003176014	0.003152737	0.002981760	0.002958721	0.002606436	0.001625538	0.001327422
29	0.003347332	0.003323849	0.003142964	0.003121080	0.002763082	0.001798753	0.001493021
30	0.003210226	0.003188191	0.002986724	0.002965767	0.002631096	0.001705472	0.001398503
31	0.003127891	0.003108637	0.002821035	0.002803167	0.002571956	0.001789772	0.001487322
32	0.002636068	0.002618939	0.002299969	0.002285817	0.002097013	0.001328526	0.001007465
33	0.003043308	0.003016538	0.002861741	0.002837942	0.002615559	0.001822073	0.001520422
34	0.002685597	0.002666309	0.002431666	0.002415816	0.002246213	0.001375774	0.001040798
35	0.003432413	0.003386435	0.003244565	0.003223055	0.003055678	0.002145233	0.001792684
36	0.002063425	0.002007969	0.001956234	0.001920515	0.001795125	0.001144770	0.000894884
37	0.002183951	0.002129823	0.002069166	0.002042327	0.001888520	0.001167577	0.000889823
38	0.002261625	0.002175731	0.002127273	0.002086421	0.001978423	0.001100206	0.000613517
39	0.002089925	0.002022658	0.001972241	0.001928893	0.001823239	0.000549349	0.000000000
40	0.002291618	0.002199476	0.002147398	0.002111799	0.001991096	0.000739208	0.000259435
41	0.002222951	0.002125312	0.002051006	0.002034617	0.001895816	0.000698999	0.000000000
42	0.002360683	0.002221851	0.002179310	0.002161126	0.002023376	0.000594487	0.000264124
43	0.001232534	0.001048759	0.000570392	0.000000000	0.000000000	0.000000000	0.000000000
44	0.001461556	0.000972566	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
45	0.001108455	0.001049853	0.000842890	0.000727963	0.000273924	0.000000000	0.000000000
46	0.002088256	0.002014157	0.001944071	0.001885957	0.001765515	0.000814523	0.000118176
47	0.001769250	0.001713270	0.001665245	0.001579736	0.001451326	0.000604629	0.000038900
48	0.001235101	0.001187268	0.001147057	0.001005490	0.000561590	0.000000000	0.000000000
49	0.001183583	0.001132447	0.001095282	0.000894864	0.000738113	0.000250277	0.000000000
50	0.002216888	0.002157501	0.002112378	0.002071408	0.001967364	0.001088911	0.000612610
51	0.002175936	0.002125448	0.002088881	0.002028865	0.001897235	0.000461784	0.000000000
52	0.001938644	0.001895636	0.001862667	0.001798350	0.001670341	0.000871705	0.000025000
53	0.001832991	0.001793216	0.001762155	0.001648605	0.001453057	0.000540441	0.000030800
54	0.001528628	0.001497152	0.001474847	0.001356795	0.001232892	0.000651835	0.000034700
55	0.001503773	0.001465592	0.001440522	0.001248521	0.001114569	0.000562839	0.000025200
56	0.001437540	0.001409725	0.001390362	0.001244661	0.001144900	0.000650467	0.000028500
57	0.001638187	0.001606377	0.001583609	0.001498289	0.001395140	0.000721923	0.000024300
58	0.001435476	0.001415134	0.001399431	0.001308436	0.001227646	0.000690973	0.000037200
59	0.001606045	0.001569745	0.001549042	0.001507373	0.001395294	0.000226497	0.000000000
60	0.001655299	0.001634368	0.001617841	0.001555081	0.001444704	0.000452567	0.000008660
61	0.001469590	0.001451970	0.001438307	0.001362509	0.001285249	0.000572679	0.000048900
