Z	DtaMerge_base	DtaMerge_1ft	DtaMerge_2ft	DtaMerge_3ft	DtaMerge_4ft	DtaMerge_5ft	DtaMerge_6ft
73	0.037508439	0.028716531	0.019752056	0.013530318	0.001389370	0.001700861	0.001303575
74	0.038149918	0.030905317	0.020214598	0.014643816	0.001031995	0.000048216	0.000034457
75	0.041606564	0.030269253	0.021121477	0.016716461	0.001662921	0.001279344	0.000384141
76	0.029260386	0.020978657	0.013642403	0.011177133	0.000681565	0.000028103	0.000014045
77	0.040673852	0.030285519	0.018396787	0.014745596	0.000288001	0.000046992	0.000033609
78	0.035998323	0.027432900	0.019852394	0.014587163	0.002582967	0.001488878	0.001090617
79	0.032487813	0.025151820	0.018610486	0.012605052	0.002262374	0.000771687	0.000000000
80	0.014894035	0.010005499	0.007160293	0.000507989	0.000247326	0.000000000	0.000000000
81	0.038189330	0.037640243	0.031977497	0.018237139	0.006976547	0.002212943	0.000436109
82	0.045754507	0.045631703	0.038787207	0.021285917	0.008756733	0.002693675	0.000556590
83	0.038002190	0.036929630	0.031725312	0.018708524	0.008387734	0.002589195	0.000698532
84	0.041597251	0.039852863	0.034579246	0.020008270	0.010457344	0.002402161	0.000377450
85	0.046347516	0.041344247	0.033630178	0.019563884	0.007879287	0.002785924	0.000498093
86	0.042813764	0.042864453	0.036072159	0.023148921	0.013546327	0.008497411	0.006622238
87	0.040972915	0.040625811	0.030019222	0.027146044	0.019414186	0.014275215	0.000000000
88	0.048382548	0.041460923	0.031710775	0.029380366	0.023968502	0.020093919	0.017459088
89	0.056463590	0.048847569	0.040398257	0.038268125	0.035851543	0.024099412	0.017842581
90	0.055067464	0.045704433	0.037377320	0.035434572	0.033314604	0.021923467	0.014614811
91	0.053745327	0.044801144	0.033131136	0.032230977	0.026084273	0.015036002	0.000131839
92	0.052522641	0.045664007	0.035669544	0.033843868	0.028207855	0.021058619	0.016431658
93	0.053561663	0.047368438	0.039265713	0.037223400	0.034851420	0.025105240	0.022352997
94	0.051206157	0.046197838	0.037922524	0.036071687	0.031960794	0.024099307	0.022930647
95	0.052336674	0.046888036	0.039254322	0.037243420	0.034544631	0.027312001	0.025850439
96	0.051704302	0.046686317	0.039237989	0.037007684	0.033829730	0.027309606	0.025954185
97	0.048927391	0.044981021	0.037511923	0.035525494	0.031889512	0.026286186	0.025008987
98	0.049590170	0.044576321	0.037191873	0.035086747	0.031828419	0.026013413	0.024915387
99	0.049099297	0.043946060	0.037255892	0.035137758	0.032593490	0.026074518	0.024835911
100	0.047600108	0.043395331	0.037192638	0.035281491	0.032279593	0.026786454	0.026290120
101	0.049329019	0.042380848	0.034676725	0.031182644	0.026488121	0.023939484	0.022897250
102	0.048636115	0.043045099	0.030420264	0.006994816	0.000000000	0.000000000	0.000000000
103	0.045851782	0.038939715	0.035495906	0.027931998	0.013664560	0.000000000	0.000000000
104	0.043346592	0.040893444	0.032789809	0.024629826	0.021354400	0.019776241	0.018784616
105	0.044367643	0.041616908	0.034559564	0.028278360	0.024356773	0.022242523	0.021256362
106	0.045631822	0.041914468	0.035157607	0.030004965	0.026211160	0.024277901	0.023686602
107	0.040828963	0.034994187	0.028292371	0.022683152	0.019957214	0.018509824	0.018545505
108	0.040461517	0.036049915	0.030302129	0.025166764	0.021879088	0.020427702	0.020694527
109	0.043371783	0.039902691	0.033895901	0.028546509	0.025208398	0.023457882	0.023927245
110	0.040892266	0.037069419	0.031633193	0.027959379	0.023709819	0.022128318	0.023657879
111	0.038633537	0.035522966	0.030549439	0.026487396	0.022674704	0.021190173	0.022850992
112	0.037215080	0.031567562	0.027559813	0.023322837	0.020280127	0.019236623	0.020186024
113	0.035814480	0.030396382	0.026227261	0.020855183	0.019055406	0.019161365	0.020186499
114	0.037131631	0.033811048	0.029500772	0.026443187	0.024041557	0.022660516	0.023158569
115	0.053380233	0.044297026	0.038884909	0.035411771	0.032632719	0.021320859	0.019206378
116	0.054271279	0.047030803	0.041383785	0.038341939	0.035821141	0.024214080	0.023964374
117	0.052341508	0.045880583	0.039817093	0.037227319	0.034934213	0.024672135	0.022478286
118	0.048401163	0.043481048	0.037723550	0.035410172	0.033836124	0.025894456	0.024967803
119	0.051493179	0.044453234	0.039484544	0.036667934	0.034757477	0.025962765	0.024472224
120	0.052236128	0.045081651	0.040143271	0.037111764	0.035295580	0.026524276	0.025173614
121	0.048486294	0.042417065	0.037779315	0.035134696	0.033894941	0.026582225	0.025303200
122	0.050290603	0.044240562	0.039422692	0.036916829	0.035503031	0.027707241	0.026434421
123	0.047089144	0.041546891	0.037030097	0.034573019	0.033144709	0.026107281	0.025040713
124	0.049403030	0.044736265	0.039180761	0.036918116	0.035104375	0.027938486	0.027365361
125	0.044461548	0.039299455	0.034831203	0.032369422	0.031316058	0.025266790	0.024246775
126	0.047158839	0.041816002	0.037225941	0.034786957	0.033597465	0.027070674	0.026068008
127	0.044319143	0.039923460	0.035430508	0.033204184	0.032041802	0.026424654	0.025514084
128	0.045940019	0.041364620	0.036478997	0.034553082	0.033162385	0.027176835	0.026283681
129	0.043699622	0.039234724	0.034629566	0.032410676	0.031394581	0.026126595	0.025101471
130	0.038653195	0.035875643	0.031307250	0.029679066	0.029183255	0.025197847	0.024444060
131	0.047323267	0.043202673	0.037666734	0.035539603	0.033410214	0.027240846	0.026708190
132	0.045677571	0.041787541	0.035862579	0.034122889	0.031913417	0.026973622	0.026340726
133	0.045656046	0.041680742	0.035700527	0.034023668	0.033268898	0.027695302	0.027027889
134	0.042470345	0.039032408	0.034259704	0.032418618	0.031122347	0.025731547	0.025030392
135	0.044810710	0.040376147	0.035781055	0.033679431	0.031883551	0.026337626	0.025784381
136	0.041932289	0.038826206	0.034223294	0.032474400	0.031154728	0.026295472	0.025633689
137	0.044293336	0.040969362	0.035435217	0.033802112	0.031729069	0.028000599	0.027649941
138	0.034788458	0.032296787	0.028174566	0.027018250	0.025646499	0.022890327	0.022500836
139	0.041297329	0.038114407	0.032073262	0.030282445	0.030336048	0.025967173	0.025516358
140	0.038806664	0.035972897	0.030584737	0.029048476	0.028846937	0.025264296	0.024938211
141	0.040056134	0.037449007	0.032660110	0.031410649	0.031102990	0.027764694	0.027417982
142	0.055152451	0.046263129	0.028731028	0.025470002	0.019149046	0.005189669	0.000000000
143	0.055152475	0.047423991	0.029490214	0.023623381	0.017807313	0.004249958	0.000000000
144	0.057555094	0.047597657	0.032799694	0.029280578	0.022090929	0.006989391	0.000000000
145	0.045547362	0.037960788	0.025661420	0.022862482	0.017842584	0.003829111	0.000000000
146	0.058756505	0.050287985	0.039951592	0.025537317	0.023110683	0.000000000	0.000000000
147	0.058352373	0.049112148	0.036679911	0.032535997	0.024021736	0.009267191	0.000000000
148	0.055977301	0.047656095	0.037472691	0.033966614	0.028963750	0.015581147	0.005673321
149	0.040088573	0.033644409	0.025267114	0.022692873	0.019630580	0.009801019	0.003342047
150	0.058618336	0.042077272	0.041675530	0.033115481	0.033587738	0.011995098	0.000000000
151	0.053522643	0.043154260	0.036131789	0.032278987	0.027638855	0.011089544	0.002485345
152	0.053312460	0.044558174	0.038580073	0.035182778	0.030887900	0.015269808	0.005427298
153	0.048580884	0.040549592	0.033373128	0.029929398	0.025683856	0.012159099	0.003571655
154	0.047944461	0.040416454	0.032598413	0.029283234	0.025683663	0.012668744	0.004664399
155	0.042287565	0.035385285	0.027207513	0.024338391	0.021310332	0.010538917	0.003600013
156	0.051797035	0.041928125	0.037024028	0.032676372	0.030380842	0.016285272	0.000000000
157	0.055194527	0.045694729	0.040856351	0.035725758	0.032691871	0.023706512	0.019803797
158	0.053886744	0.043743835	0.039067770	0.034394907	0.032275319	0.021974891	0.021490660
159	0.050926137	0.043914726	0.039071454	0.035986183	0.034485174	0.026227097	0.024920488
160	0.050265475	0.043211196	0.038445767	0.035066797	0.033606743	0.025899838	0.024445009
161	0.048807477	0.041965858	0.037231549	0.034151758	0.032932594	0.026220863	0.024888965
162	0.049642707	0.041387864	0.036679647	0.033037004	0.031460699	0.023404420	0.022151615
163	0.046200982	0.037818885	0.032966595	0.029917173	0.028601668	0.022067939	0.020765553
164	0.043451998	0.036063088	0.031485194	0.028512189	0.027372050	0.021361363	0.019234638
165	0.048411461	0.038940722	0.034342318	0.031030449	0.028436527	0.016289551	0.000000000
166	0.044650484	0.038607401	0.034181028	0.031408200	0.030342289	0.024609989	0.023428694
167	0.043532635	0.037383891	0.032791495	0.030314938	0.029301295	0.023964503	0.022780043
168	0.043768044	0.039082705	0.034250345	0.032254703	0.031184920	0.026182908	0.025151522
169	0.042642637	0.037405357	0.032830578	0.030598347	0.029717966	0.025002571	0.023983872
170	0.041310564	0.037417974	0.032546625	0.030617001	0.029826882	0.025186501	0.024344422
171	0.041075601	0.036185983	0.031388360	0.029318594	0.028472892	0.023988608	0.022971781
172	0.041881007	0.034528091	0.029556341	0.027063524	0.026144937	0.021176722	0.020180668
173	0.038088054	0.034679013	0.029921506	0.027255194	0.027530622	0.023522166	0.022778054
174	0.034915551	0.031267593	0.026500000	0.024714092	0.024457783	0.021176553	0.020480391
175	0.037210490	0.032536803	0.027630718	0.025705162	0.025108047	0.021388692	0.020527653
176	0.037928223	0.032382160	0.027208910	0.024997890	0.024524099	0.020835834	0.019833469
177	0.039125877	0.030686112	0.025655518	0.023489102	0.022834694	0.018781839	0.017993910
178	0.037527173	0.029616961	0.023748223	0.021705128	0.021428472	0.018132928	0.017335907
179	0.033292791	0.031154525	0.025313460	0.025617806	0.024090468	0.023506512	0.023414569
180	0.032463698	0.030449031	0.026893468	0.025586856	0.025499759	0.022792802	0.022411773
181	0.033211135	0.030966703	0.027239520	0.025750566	0.025486272	0.022508116	0.021996785
182	0.029210492	0.027595346	0.024740772	0.023942253	0.023593989	0.021850108	0.021585645
183	0.030412007	0.028747608	0.025902123	0.024919501	0.024588936	0.022336258	0.021977270
184	0.032394813	0.030657284	0.026136845	0.025647708	0.025108636	0.024972826	0.024972845
185	0.029806858	0.028282931	0.025036155	0.024559387	0.023804111	0.022683137	0.022611377
186	0.027837940	0.026479454	0.023746812	0.023246108	0.022747586	0.021539252	0.021387476
187	0.029296387	0.027838905	0.024681744	0.024118022	0.023645172	0.023222379	0.023272959
188	0.026614487	0.025487940	0.023750078	0.023041595	0.022868174	0.021440828	0.021258267
189	0.028949327	0.027505419	0.025338931	0.024437174	0.024296968	0.022363035	0.022122207
190	0.029157443	0.027366367	0.024206336	0.021980731	0.022741227	0.020572667	0.019973448
191	0.024491639	0.023374859	0.021469320	0.019972004	0.020630399	0.019435352	0.019757111
192	0.025748898	0.024255225	0.021497869	0.020550623	0.020725776	0.018976449	0.018761741
193	0.028906439	0.026979557	0.023397442	0.020858444	0.022243342	0.020042100	0.019717159
194	0.022599724	0.021224302	0.016509269	0.013406222	0.015913430	0.015561157	0.016882999
195	0.024358514	0.014161917	0.009088977	0.006137441	0.008459807	0.010504850	0.012138728
196	0.031221167	0.028859706	0.024914082	0.022900003	0.023369773	0.020580828	0.020058218
197	0.036358049	0.033189669	0.028617580	0.026033296	0.026501393	0.023005099	0.022321271
198	0.029317519	0.026863437	0.022212758	0.020155384	0.020687058	0.018105242	0.017593412
199	0.032361885	0.029195734	0.023885849	0.021845023	0.022032207	0.019066718	0.018471357
200	0.013136669	0.004781701	0.000215138	0.000138537	0.000000000	0.000000000	0.000000000
201	0.019796127	0.011301637	0.007895596	0.000000000	0.000000000	0.000000000	0.000000000
202	0.021653376	0.011286607	0.007932602	0.005331483	0.000389929	0.000272882	0.000219477
203	0.025755631	0.018141147	0.013698755	0.009094786	0.001131951	0.000554114	0.000456572
204	0.039934196	0.035294227	0.021774879	0.015687795	0.009168663	0.007578623	0.007498844
205	0.038290616	0.037778479	0.018086844	0.018047157	0.008566311	0.006732009	0.006740528
206	0.037738292	0.035764400	0.021346130	0.016788563	0.006122943	0.000000000	0.000000000
207	0.036179896	0.031927472	0.018523323	0.014410677	0.009308671	0.007609087	0.007156572
208	0.034852358	0.035916056	0.020393919	0.016218837	0.011127924	0.009572084	0.009770146
