masterid,total,inj,fat,x,y
921,22,22,0,-74.0088387529857,40.713789744879
932,12,13,0,-73.9772477588496,40.6476117906726
936,12,12,0,-73.9537897162757,40.6629497479317
939,17,17,0,-74.0067407375546,40.7135997388866
943,68,82,0,-73.8940476887656,40.6647477590245
944,13,14,0,-73.8646687579252,40.8578967593907
952,80,91,0,-73.9406456991478,40.8057087825673
954,11,12,0,-73.9571016719752,40.6944477997787
960,12,12,0,-73.7776097344538,40.7580587688987
965,11,11,0,-73.8566587208849,40.7531737098074
971,8,13,0,-73.9317677587046,40.6552617347599
973,25,24,5,-73.9604547352824,40.5894408161857
977,18,19,1,-73.8485137740091,40.8211097185018
980,12,13,0,-73.9391867230728,40.79505078401
984,17,17,0,-73.8880216828381,40.749351732217
988,28,30,0,-73.8783447429333,40.7482127519475
996,50,52,0,-73.8582576886194,40.822005689313
998,41,43,0,-73.9928327362305,40.7300627210762
1010,15,14,1,-74.0062337137011,40.6490237612891
1011,37,39,0,-73.9349787024693,40.8008087836027
1014,13,14,0,-73.9067557139792,40.8235607141148
1037,31,32,0,-73.9840696470531,40.7375247231587
1062,12,12,0,-73.9012896895041,40.8204547098726
1065,16,18,0,-73.9363897419616,40.6717597403692
1076,15,15,0,-73.7980367118551,40.6916287977154
1108,91,102,1,-73.9184527415165,40.8255657716647
1123,15,16,0,-73.938824671057,40.8024297759092
1125,17,19,0,-73.9320526716066,40.8578237521865
1134,22,23,0,-73.9402116791433,40.8353497320423
1147,33,36,0,-73.8283537470705,40.8332747573028
1155,16,16,0,-73.9800297072369,40.6770397584907
1161,12,14,0,-73.9181807309041,40.7653857542741
1168,12,13,0,-74.0093877466132,40.6390757441077
1172,46,55,0,-73.9428137056131,40.7941127059814
1174,13,14,0,-73.9426987697232,40.7146967279603
1178,19,26,0,-73.7916927402686,40.6734437321051
1180,21,22,1,-73.8148537672729,40.7337547792434
1189,40,42,0,-73.9842617302886,40.7647837157928
1199,12,12,0,-73.9752937065139,40.6209027389843
1203,25,30,0,-73.9565437639193,40.6665767332877
1204,13,14,0,-73.7835948127946,40.5951378152907
1205,10,11,0,-73.884218698628,40.8581987008629
1214,25,27,0,-73.9410166634601,40.7046167864286
1215,11,14,0,-74.0331607244408,40.6327268095258
1219,10,15,1,-74.0324847080796,40.6200117800587
1219,11,11,0,-74.0323377323778,40.6203737767339
1221,11,11,0,-73.9141927040733,40.816257765097
1223,26,26,0,-73.9171277582808,40.8453677275595
1225,27,27,0,-73.7541438362919,40.7247167232184
1231,17,19,0,-73.9627767023089,40.7782817280543
1237,11,13,0,-73.8906197790972,40.7473307542421
1247,41,44,0,-73.99334666339,40.7472207115973
1251,16,19,0,-73.8828307843653,40.7017677361367
1254,15,15,0,-73.9026507180997,40.8705467071328
1257,15,17,0,-73.8902567709937,40.751189785827
1267,16,17,0,-73.8715917790815,40.6741227943454
1273,13,17,0,-73.916812763275,40.6386747849034
1285,12,14,0,-73.9333057285283,40.8552997097801
1292,11,11,0,-73.8868416931824,40.8540697273466
1296,38,43,0,-73.9628597383094,40.7992157156932
1300,12,12,0,-73.9528587400572,40.7140507432059
1304,29,31,0,-73.9417867597208,40.6872147801204
1315,14,14,0,-73.9225297732222,40.862479727829
1316,14,14,0,-73.9068357263127,40.8313756929567
1329,17,17,0,-73.9886717556246,40.5743487489687
1333,46,47,1,-73.9874747061723,40.7603957646849
1338,13,16,0,-73.9254127660073,40.7027887173567
1360,33,35,0,-73.8906607881197,40.8252887094756
1368,12,13,0,-73.8426067459308,40.7193217736254
1374,20,20,0,-73.9930816925136,40.7179067153725
1378,24,25,0,-73.7623557374552,40.7197547213621
1379,19,26,1,-73.9392597399671,40.6532487526305
1386,27,27,2,-73.9874917611307,40.7245647956215
1398,30,33,0,-73.9764277054542,40.7857177007677
1409,24,25,0,-73.9278567575862,40.8356117479241
1413,15,17,0,-73.9884826837182,40.7127577997617
1418,10,11,0,-73.9192437121393,40.8172247602974
1421,14,13,1,-73.8069297791686,40.7136297702576
1439,41,42,0,-73.9870617150148,40.7536057467135
1440,23,23,0,-73.9035717103527,40.7518397239862
1444,14,16,0,-74.1168326372624,40.6135317731488
1461,31,42,0,-73.9391857078446,40.8432297379507
1472,25,25,1,-73.8863707796667,40.7121947982789
1475,36,35,4,-73.985848700964,40.616509803043
1494,46,48,0,-73.9871236950545,40.7659737472461
1497,22,23,0,-73.9202697345668,40.8261447286292
1514,14,14,0,-73.9909017465189,40.6860737363125
1517,15,17,0,-73.95824276099,40.7041937503229
1520,15,15,0,-73.896272769937,40.7006317205477
1527,15,17,0,-73.8988916935135,40.7096687827831
1533,21,22,0,-73.943790680604,40.7108847972802
1545,48,60,0,-73.9891327218226,40.7167047911022
1557,30,30,0,-73.7920887803055,40.6804557208368
1559,51,51,3,-73.9311227633843,40.6687318012628
1559,46,47,0,-73.9311116839739,40.6688477283831
1560,30,30,0,-73.9831137225713,40.7348297183312
1561,43,47,1,-73.9914577007056,40.7703297898561
1561,12,12,0,-73.9913437278362,40.7702817698841
1564,26,31,0,-73.9472387235761,40.7113157319038
1573,20,21,0,-73.9874277092802,40.68712974408
1575,11,12,0,-73.8770047550465,40.7564817418458
1578,10,11,0,-73.8532477307895,40.7349677352738
1586,33,34,0,-73.9404737021422,40.7010527378251
1598,38,41,0,-73.9381457430342,40.8005037663912
1600,45,51,1,-73.9219287742671,40.6627357373417
1605,35,36,0,-74.0109237404352,40.7162767641301
1612,34,37,0,-73.9062087871136,40.7001127317641
1612,16,16,0,-73.9058767652838,40.6999177951201
1612,12,12,0,-73.905594678209,40.7001867260451
1630,14,14,0,-73.999465738855,40.6099538155159
1631,33,37,0,-73.9836016949196,40.7555197901497
1632,20,20,0,-73.9877536738231,40.7212127930562
1649,13,13,0,-73.9423827672848,40.7023377367678
1660,16,17,0,-73.958686667897,40.7019437446278
1661,12,14,0,-73.9599987341038,40.6228807784797
1662,17,19,0,-73.9117587541214,40.8617717205068
1704,11,11,0,-73.9374876976305,40.6369058039166
1706,15,19,1,-73.8243437471728,40.7767137780925
1707,17,17,0,-73.9932826936915,40.6338907459183
1708,12,12,1,-73.8092657962381,40.7048337700597
1709,41,45,0,-73.9696167093477,40.7602397667265
1711,12,14,0,-73.8540327038952,40.7481517171191
1714,19,21,0,-73.791718825192,40.6793317406163
1726,13,14,0,-73.8856467791613,40.6837397499275
1727,17,18,0,-73.9843797161896,40.7248377956151
1731,27,27,1,-73.8819696744196,40.8283057168581
1734,56,69,0,-73.9526597298143,40.6524737379984
1740,14,18,0,-73.9129987353914,40.833400705423
1745,18,20,0,-73.9807466990583,40.725665717228
1750,29,30,0,-73.9207237038501,40.6579477984576
1759,12,13,0,-73.9048147769512,40.7002727469641
1760,24,26,0,-73.9116786949195,40.8486347187266
1785,12,12,0,-73.9597747765946,40.5962808127203
1788,11,11,0,-73.9114626993696,40.8473136944326
1807,13,13,0,-73.9186187005053,40.6917997993657
1813,94,100,1,-73.9470806852457,40.7842217392683
1817,13,15,0,-73.9906119745029,40.7509910319991
1817,178,192,0,-73.9906106765873,40.7509827832065
1823,49,52,0,-73.9006097433366,40.7126937976532
1830,95,103,0,-73.9533686830695,40.6806317327755
1841,13,14,0,-73.9677256759923,40.697705722223
1844,28,32,1,-73.8500287595354,40.8275827515419
1844,15,18,0,-73.8498527170334,40.826885740441
1846,39,39,0,-73.9163077154956,40.6953387266362
1869,39,42,2,-73.936379688477,40.8495317439311
1875,41,56,0,-73.9090787162852,40.8132237226248
1877,17,18,0,-73.8871167723467,40.743656739977
1883,15,15,0,-73.8457767621265,40.7848837825183
1885,14,15,0,-73.925031703681,40.6607287427555
1887,14,15,0,-73.9196197601342,40.6641457877097
1894,27,29,0,-73.8275077928617,40.7624007687803
1899,16,21,0,-73.9207367256694,40.686642716878
1901,13,12,1,-73.872246717989,40.734725790267
1908,31,31,1,-73.9516416836943,40.7819797423174
1911,24,25,0,-73.9872897154976,40.752897794695
1912,28,29,0,-73.8725427912056,40.8787376938913
1920,27,27,0,-73.956483724427,40.7670977593047
1926,12,13,0,-73.9346096857878,40.8544947143496
1934,9,12,0,-73.9140867626447,40.6350367498476
1949,11,11,0,-73.9180267112387,40.6869417436902
1951,25,25,1,-73.8965777741258,40.7057397246515
1953,8,13,0,-73.891532703935,40.7281447091833
1956,20,21,0,-73.909009711477,40.7542687536195
1959,21,20,1,-73.9916136925131,40.7223697547422
1961,15,18,0,-73.8635726934246,40.8953887002218
1972,67,70,0,-73.8673627082234,40.8654267133093
1980,13,13,1,-73.8552777844957,40.7439357276285
1982,45,52,0,-73.9399137286913,40.6638887959792
1993,45,46,0,-74.0001716939801,40.7378517240821
2003,23,23,0,-73.938368666419,40.837876719521
2004,29,31,0,-73.9922656446383,40.734503709931
2010,31,35,0,-73.9527307702794,40.6321317782038
2013,14,15,0,-73.9624536553304,40.804868754579
2046,14,14,0,-73.8638676995928,40.8544087321193
2055,37,39,0,-73.9787196880831,40.7723817497416
2060,14,15,0,-73.8580497603027,40.8630277032029
2076,17,19,0,-73.933295681329,40.8498907093278
2096,26,27,0,-73.8826596953984,40.8228206978513
2097,16,19,0,-73.9209057617251,40.6605898091862
2101,7,13,1,-73.9137226866166,40.7443647107786
2110,40,40,0,-73.985742693755,40.7229607975028
2112,22,23,0,-73.995081763221,40.6459377463846
2114,22,23,0,-73.9740866765457,40.635971782747
2117,102,109,2,-73.9476707550666,40.6328497944653
2126,66,66,0,-73.9900687095228,40.7466397662113
2136,31,33,0,-73.9459827595304,40.6219848186901
2137,13,13,0,-73.9333987283721,40.6896857260633
2145,31,31,1,-73.9806597389048,40.779912790021
2147,13,13,0,-73.8995017806515,40.6671247912724
2148,37,39,1,-73.957232777028,40.6305107965808
2155,16,17,0,-73.904451789247,40.7454637504346
2166,11,11,0,-73.8147867583863,40.7769866982006
2173,20,20,0,-73.9372336978668,40.819158777602
2175,12,12,0,-73.9527807147472,40.587063747293
2178,16,16,0,-73.9740517004906,40.7838897019763
2179,15,17,0,-73.9625777547732,40.6716687698854
2186,9,14,0,-73.8986837878536,40.6392817284084
2190,20,21,0,-73.8792727814878,40.8344517286608
2210,11,13,0,-74.0010506406935,40.7570657532195
2212,34,36,0,-73.9703547025805,40.752337788118
2225,25,25,0,-73.9583377342891,40.7605217237578
2229,47,48,0,-73.9957337510095,40.749025717111
2232,10,12,0,-73.9243857697116,40.6663787272651
2246,10,12,0,-73.8617066934868,40.8171687379844
2249,9,13,0,-73.8271248041542,40.7467817314086
2257,16,20,0,-73.9968407488598,40.6442507807281
2265,24,26,0,-73.9949117106302,40.6219897930762
2276,13,13,0,-73.9299037362405,40.7708387339306
2278,11,13,0,-73.9291406805145,40.6584087636178
2279,26,27,0,-73.9594436722273,40.6535617793354
2282,20,20,1,-73.7954357123143,40.708041755777
2304,66,70,0,-73.9477687713273,40.6339877503268
2323,12,13,0,-73.7993217730364,40.7086397743733
2326,11,13,0,-73.9345267149463,40.7460047738408
2332,28,28,1,-73.9384316753289,40.8462007496363
2344,11,13,0,-73.9971047263975,40.7178517460033
2345,13,14,0,-73.9567347510936,40.6159217399474
2346,17,20,0,-73.9481827317627,40.6902327931771
2362,21,20,1,-73.9224967698385,40.6595577874297
2371,13,13,0,-73.9603967418111,40.6739907366856
2379,24,25,0,-73.9408676817255,40.7039037506202
2384,32,41,0,-73.8030207485389,40.708113726573
2410,14,15,0,-73.9939957351148,40.6297548056994
2417,11,15,0,-73.9131216948361,40.8296917208503
2418,12,12,0,-73.9637106947565,40.6224738086217
2421,13,14,0,-73.9913766960982,40.6179337420077
2434,15,16,0,-73.9151797685335,40.8216607613044
2468,30,30,0,-73.9584146659872,40.8007237538765
2486,13,12,1,-73.9138417520963,40.8336847493454
2514,58,65,0,-73.9305906874976,40.6537877619089
2528,18,19,0,-73.9606587240962,40.7573437707201
2529,16,16,0,-73.994296668214,40.6947827920604
2530,12,17,0,-74.0075366589049,40.7258207220333
2542,25,29,0,-73.9756706915389,40.728426731527
2553,24,24,0,-73.9573326712512,40.6723997658244
2560,36,37,1,-73.931981752218,40.8516907388532
2571,8,12,0,-73.849854709345,40.9040776940578
2594,81,82,3,-73.9662336628731,40.7579877697532
2596,12,14,0,-73.9297517576723,40.7565677918005
2597,14,14,0,-73.9928196527746,40.7143577938057
2608,10,12,1,-73.9186417486561,40.8469297271002
2609,16,18,0,-73.7868757216087,40.7410997355324
2614,55,55,0,-73.9422897567071,40.700936787819
2618,18,18,0,-73.9271147390146,40.8369147403062
2632,35,37,0,-73.9153976890065,40.6879297175171
2644,13,14,0,-73.9534397187354,40.7910847675677
2655,60,63,0,-73.9852947434515,40.7275847737626
2656,11,11,0,-73.8696917911172,40.7495767814596
2657,148,159,1,-73.9825547088547,40.7313417677249
2658,16,17,0,-73.9920346857455,40.6036427891416
2663,11,12,0,-73.8566027800375,40.7316057627324
2665,13,16,0,-74.0894317202162,40.6076898253139
2674,9,12,0,-73.8745500309139,40.7433089836946
2674,38,41,1,-73.8745487707459,40.7433007326684
2688,11,11,0,-73.9760797593898,40.7555917550591
2698,40,42,0,-73.9100877536477,40.6671497204794
2700,15,15,0,-73.9797257154428,40.7862747100736
2703,17,17,0,-73.9183006791209,40.6611517967016
2707,25,25,0,-73.9154737070872,40.6615627302931
2711,11,12,0,-73.9664126819252,40.6024537586477
2717,29,31,0,-73.9727166975166,40.6775197529462
2722,19,19,1,-73.8976487164228,40.6456547633209
2781,36,41,1,-73.9389056608288,40.8493116957704
2795,58,60,0,-73.9898616439485,40.7622307051368
2796,11,12,0,-73.9135817866963,40.6776637758234
2799,13,13,0,-73.9607467286319,40.709400787028
2805,14,15,0,-73.9931007374364,40.6928367993159
2815,17,17,1,-73.9773717562638,40.7793477891048
2825,23,25,0,-73.9354617688009,40.8491357413142
2840,53,60,0,-73.997344654132,40.5985397556
2846,17,17,0,-73.8854797795772,40.7457847572358
2861,18,18,0,-73.8581637984209,40.6925667529491
2883,35,36,0,-73.9985327293208,40.7197787148661
2885,17,18,0,-73.7903867948327,40.6877487785181
2910,13,14,0,-73.7722617558109,40.6815507991998
2928,24,26,0,-73.9254226982862,40.6632847676989
2932,42,44,0,-73.8513617961366,40.8502927032853
2935,56,57,0,-73.9559836625807,40.7677977814264
2936,16,18,0,-73.8506727506835,40.8300667055084
2943,24,30,0,-73.9285227215608,40.6668578013691
2947,25,29,0,-74.0126406801356,40.6428637917314
2948,12,13,0,-73.8490717910689,40.847052684263
2953,25,28,1,-73.981949700011,40.7654587897306
2954,34,36,0,-73.9641867319405,40.6199757587864
2956,16,16,0,-73.9457447291356,40.8277687105459
2971,12,12,0,-73.9750117143945,40.6750887519905
2995,10,12,0,-73.9269697435457,40.687420779471
2996,11,12,0,-73.8864977298206,40.8145347064509
2999,10,11,0,-73.9184737289993,40.6537337237808
3002,56,55,1,-73.9406697690989,40.7119557696595
3008,12,12,0,-73.8827207280076,40.853640727771
3014,14,16,0,-73.9052877155571,40.706333796181
3017,43,47,0,-73.9560006823225,40.7720017835536
3019,25,28,0,-73.920645695412,40.8631716891554
3020,11,13,0,-73.8671027442692,40.8732017373083
3022,11,14,0,-73.9906177050217,40.7207447515739
3023,16,15,1,-73.8296847085864,40.7093397947097
3024,23,24,0,-74.0070216723485,40.632089792107
3026,11,12,0,-73.9641997599141,40.6350948184576
3027,26,29,0,-73.914971738102,40.8149397052983
3029,31,31,0,-73.9546856786723,40.6102567933873
3035,15,16,0,-73.8628146846943,40.7578047451184
3042,26,27,1,-73.9339367389994,40.7428667431682
3049,10,12,0,-74.0298446541889,40.6191438111421
3056,25,26,1,-73.9904657460624,40.6867188077817
3062,26,26,0,-73.9847887492456,40.7452217278384
3069,26,34,0,-73.8938097482181,40.8589827349719
3076,11,11,0,-73.9346706682594,40.7171967142977
3082,17,17,0,-74.0055276934521,40.7458047952187
3083,29,29,1,-73.8956497476289,40.7426687828936
3084,20,21,0,-73.9031137319833,40.7216107433771
3085,30,33,0,-73.8923907908732,40.7470977827558
3089,12,12,0,-73.8981067411384,40.746138788011
3092,18,21,1,-73.9765937218056,40.682110785953
3093,16,17,0,-73.9628337382195,40.5813337823082
3097,21,22,0,-73.9478747299999,40.7041157495606
3125,27,27,0,-73.9700726908949,40.7596117180959
3128,30,33,0,-73.9604117359038,40.6525387499245
3132,20,22,1,-73.9230987332609,40.6991807923605
3143,13,13,0,-73.9121647484948,40.8214697694461
3151,67,74,0,-73.9803757127125,40.754113767529
3165,12,13,0,-74.006813639377,40.7440477837296
3168,8,11,0,-73.9140857152596,40.7011887519885
3172,8,11,0,-73.9426857011149,40.661301739595
3175,24,25,0,-73.9896917476019,40.5740467850027
3177,25,28,0,-73.9437727694386,40.8202797389268
3180,20,20,0,-73.9194837526884,40.8638327325731
3185,12,12,0,-73.9773466938326,40.7895416993246
3193,7,15,0,-73.8653366985105,40.8817606955808
3194,16,16,0,-73.8666897056541,40.8208767734215
3206,13,13,0,-73.9652577251746,40.6506337288049
3216,23,23,0,-74.0139557407606,40.6381417328678
3223,28,27,1,-73.9717656936537,40.7921167716009
3238,21,22,0,-73.9532507534988,40.587186742018
3253,24,26,0,-73.9586716632116,40.6377567709795
3255,11,11,0,-73.9466456997114,40.772326736469
3257,10,14,0,-73.9699536880654,40.7996807690591
3258,15,16,0,-73.9631227130342,40.6444957797707
3262,12,14,0,-73.9242136950443,40.6485268103609
3263,10,11,0,-73.9161616812396,40.8482727300631
3265,30,30,0,-73.8941817421107,40.6613447276717
3266,42,42,1,-73.9833536749042,40.7660287868588
3283,15,17,0,-73.8404397439776,40.8805577388806
3287,12,12,0,-73.9228266778318,40.6565437291938
3294,33,34,0,-73.9434416912092,40.7087797494255
3306,16,17,0,-73.9333797511646,40.7747017220473
3307,10,11,0,-73.8752896871021,40.8241707623335
3315,36,40,0,-73.9560126868204,40.6233247900177
3341,45,47,0,-73.9813987491785,40.687935756895
3345,12,11,1,-73.825514731943,40.7426217842985
3345,23,24,1,-73.8253637586278,40.7425657471852
3362,14,14,0,-74.0069706458575,40.7349887139551
3371,97,98,3,-73.9416187160754,40.7986017708041
3377,41,45,1,-73.9734907031348,40.7520577277821
3378,16,20,0,-73.9531686969839,40.7716387631107
3383,12,17,0,-73.9828837141099,40.6193747726952
3385,14,13,1,-73.9608747661057,40.6608887973399
3385,50,58,0,-73.9606917260374,40.6609367868913
3386,11,11,0,-73.8656396925835,40.857872711981
3392,12,13,0,-73.8522397621096,40.8499027398111
3396,24,28,0,-73.8839317788252,40.7434127542441
3397,63,68,0,-73.9494456766589,40.634499751556
3401,15,15,0,-74.0023116593554,40.7502237777614
3416,11,12,0,-73.9105027412043,40.8325677662937
3421,13,14,0,-74.0067616688403,40.7056027239282
3425,13,14,0,-73.9571266897272,40.58765376778
3426,21,23,0,-73.8206657778543,40.7650437218936
3428,10,11,0,-73.8664137448317,40.8631887633576
3433,25,26,0,-73.9847637606198,40.7692037767817
3434,29,30,0,-73.9393032801311,40.8134417672509
3441,15,15,1,-73.8218337144127,40.7266597237222
3445,13,15,0,-73.8746247008828,40.7486047032677
3447,14,18,0,-73.8741067662102,40.6831037556957
3455,10,12,0,-73.9944206715284,40.6391427616704
3465,16,18,0,-73.9869410113335,40.7560399717032
3465,107,119,2,-73.9869397143076,40.7560317217929
3469,117,122,2,-73.9828986509783,40.7666847319242
3470,26,28,0,-73.92725278036,40.6888917931454
3477,38,39,2,-73.9399637119786,40.6622188026394
3479,13,15,0,-73.8818617781328,40.6641378000016
3495,15,17,0,-73.9484116656068,40.6093247385024
3497,31,36,0,-73.7857947207412,40.6889617474647
3500,25,28,0,-73.8499507790633,40.7335957429433
3501,20,23,1,-73.9726737160394,40.7908577456653
3512,11,11,0,-73.9972946919798,40.7192997963408
3519,14,14,0,-73.9815597640222,40.6840447793083
3528,21,23,0,-73.9497127072606,40.681061747222
3542,10,12,0,-73.9627837125794,40.715100747681
3551,15,16,0,-73.9693576800564,40.7692537691744
3557,12,12,0,-73.9845816664543,40.6632757414707
3560,37,39,1,-73.8525867793813,40.7525337887625
3575,11,11,0,-73.9083787818966,40.6738177944007
3577,34,39,0,-73.9309637219598,40.848156742955
3583,45,47,1,-73.9003007003294,40.8312026873798
3592,33,44,1,-73.9959577583784,40.6133778210098
3593,20,21,0,-73.9830367438866,40.7817557068399
3596,10,11,0,-73.7503717424697,40.6065157409338
3609,53,57,1,-73.9542527250706,40.7301827344552
3610,15,16,0,-74.0019447503071,40.6427867918422
3611,50,51,0,-73.9937996742107,40.7466117288823
3626,17,19,0,-73.7823108040256,40.7886867488877
3631,25,26,0,-73.9484077258489,40.7781567153697
3638,18,17,2,-73.8755786757957,40.839922694963
3639,17,19,0,-73.9635526971947,40.641600772389
3647,17,20,0,-73.8864467529037,40.8502857057101
3650,17,21,0,-73.8755678031436,40.6722487267119
3653,8,12,0,-73.8992097085306,40.6623817297682
3654,9,12,0,-73.955738679922,40.6767917859811
3657,13,13,0,-74.0266777506609,40.6341887676914
3658,31,33,0,-74.000339694016,40.5957347484085
3658,12,15,0,-74.0002256693749,40.5956857453014
3668,27,27,1,-73.9490037639187,40.7733247450674
3670,26,28,0,-73.9774257450873,40.7536827369792
3682,35,35,1,-73.9940347008359,40.7142557836416
3689,32,32,0,-73.9881827265058,40.7434307504606
3693,13,13,0,-73.9190136773746,40.7657427243328
3699,34,34,1,-73.9362997133524,40.8030097212661
3704,11,13,0,-73.931023697107,40.8504997124287
