X,Y,masterid,start,end,time_diff,short_span,bc_ped_noi,bc_ped_nof,bc_ped_svA,bc_ped_svB,bc_ped_svC,bc_ped_svO,bc_ped_c_score,ac_ped_noi,ac_ped_nof,ac_ped_svA,ac_ped_svB,ac_ped_svC,ac_ped_svO,ac_ped_c_score,d_ped_noi,d_ped_nof,d_ped_svA,d_ped_svB,d_ped_svC,d_ped_svO,d_ped_c_score,sip_id,combo_treatment
-74.166292095583131,40.547326546890801,33671,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,1,0,0,0,0,10,1,0,0,0,1,0,2,1,-1,0,0,1,0,-8,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.165742384193976,40.545397705063294,26464,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,0,2,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.159557491756686,40.538334282709414,43008,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.162527502519623,40.541502706335002,31835,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,2,0,0,1,1,0,6,2,0,0,1,1,0,6,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.161023992050659,40.53989775943694,23277,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.167880182251906,40.551945216449745,15759,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.168014167992865,40.552876938318335,1762,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,1,0,0,1,0,0,4,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-4,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.168205484105002,40.553431903570512,43317,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.167740799044665,40.551316879136593,34923,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,0,1,0,0,4,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.16868441336085,40.555567585037466,10049,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.168842728852894,40.556269106515138,26796,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.168367068237586,40.554131592956679,34993,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.168523961649257,40.554851938061404,24013,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.169005806171725,40.556990364795823,27328,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.169166954077014,40.557700846334491,10965,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.169316810351091,40.558409782741535,9927,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.169472573142727,40.559126520473178,25253,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,2,0,0,1,1,0,6,1,0,0,0,1,0,2,-1,0,0,-1,0,0,-4,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.169736506138122,40.560250201309842,1046,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,2,0,0,2,0,0,8,2,0,0,2,0,0,8,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.169745541845955,40.563452821735616,17928,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
