x,y,sip_id_x,masterid,start,end,before_crash,after_crash,short_span,pdiff,sip_id_y,combo_treatment
-74.098440008741008,40.581241706377511,12-TD-01.0,24931,2012-07-10 00:00:00,2012-09-07 00:00:00,6,3,-1,-1,12-TD-01.0,"(""Bus Lane-From Moving-Curbside"",""Signal Timing Change-Traffic Timing Changes--1"",""Crosswalk Markings-High Vis--1"",""Crosswalk Markings-High Vis--1"",""Moving Lane Changes-Removed-None"",""Crosswalk Markings-High Vis--1"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Crosswalk Markings-High Vis--1"",""Signal Timing Change-Traffic Timing Changes--1"")"
-74.096168912738094,40.583043786104049,12-TD-01.0,31602,2012-07-10 00:00:00,2012-09-07 00:00:00,2,2,-1,0,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Moving Lane Changes-Removed-None"",""Signal Timing Change-Traffic Timing Changes--1"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Bus Lane-From Moving-Curbside"")"
-74.094710389889656,40.584202612522752,12-TD-01.0,24685,2012-07-10 00:00:00,2012-09-07 00:00:00,1,2,-1,0.5,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Signal Timing Change-Traffic Timing Changes--1"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"")"
-74.093406994024505,40.585240111632373,12-TD-01.0,30175,2012-07-10 00:00:00,2012-09-07 00:00:00,3,10,-1,0.7,12-TD-01.0,"(""Moving Lane Changes-Removed-None"",""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Bus Lane-From Moving-Curbside"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"")"
-74.092029455271302,40.586560467091282,12-TD-01.0,28598,2012-07-10 00:00:00,2012-09-07 00:00:00,1,3,-1,0.666666666666667,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Ped Ramps-None--1"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Added Median (Tips-Only)-None--1"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Tactile Strips-None--1"",Bollards-Bell--1,""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"")"
-74.091117732730908,40.587634791163154,12-TD-01.0,8098,2012-07-10 00:00:00,2012-09-07 00:00:00,1,1,-1,0,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Bus Lane-From Moving-Curbside"")"
-74.088362353744841,40.590750722855169,12-TD-01.0,1229,2012-07-10 00:00:00,2012-09-07 00:00:00,3,6,-1,0.5,12-TD-01.0,"(""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"",""Bus Lane-From Moving-Curbside"",""Moving Lane Changes-Removed-None"")"
-74.116667641581387,40.610086084119473,11-RIS-07.0,25025,2011-07-11 00:00:00,2011-08-13 00:00:00,1,3,-1,0.666666666666667,11-RIS-07.0,"(""Added Median (Non-Tips)-Flush-None"",""Parking Markings-Parking Stripe-None"",""Added Median (Non-Tips)-Flush-None"",""Moving Lane Changes-Narrowed-None"",""Moving Lane Changes-Removed-None"",""Moving Lane Changes-Removed-None"",""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Parking Markings-Parking Stripe-None"",""Moving Lane Changes-Narrowed-None"")"
-74.116940818396472,40.612155324214662,11-RIS-07.0,25461,2011-07-11 00:00:00,2011-08-13 00:00:00,3,3,-1,0,11-RIS-07.0,"(""Parking Markings-Parking Stripe-None"",""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Parking Markings-Parking Stripe-None"",""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"")"
-74.116835511864565,40.611428583063031,11-RIS-07.0,29953,2011-07-11 00:00:00,2011-08-13 00:00:00,1,2,-1,0.5,11-RIS-07.0,"(""Parking Markings-Parking Stripe-None"",""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Signal Timing Change-Traffic Timing Changes--1"",""Parking Markings-Parking Stripe-None"",""Signal Timing Change-Traffic Timing Changes--1"")"
