A	Name	DiffB4ft
63109	505	3.4
63109	553	0.45
63109	554	3.02
63115	505	-4.37
63115	553	-0.67
63115	554	0.47
63194	505	3.12
63194	553	0.43
63194	554	3.09
63195	505	2.86
63195	553	0.41
63195	554	3.07
63197	505	136.8
63197	553	51.13
63197	554	54.73
63198	554	0.01
63199	554	0.01
63204	553	101.56
63204	554	104.62
63207	553	0.52
63207	554	0.63
63250	505	53.4
63253	554	0.01
63282	553	1.39
63282	554	1.83
63313	505	124.42
63313	553	25.86
63313	554	40.38
63316	505	1.55
63316	553	-1.45
63316	554	-1.05
63325	505	2.26
63325	553	0.23
63326	505	96.28
63326	553	51.79
63326	554	30.18
63328	505	16
63328	553	-8.15
63328	554	-3.48
63469	36	32.01
63469	37	5.68
63471	36	8.36
63596	65	319.47
63598	36	1.2
63598	37	64.43
63598	40	4.31
63630	553	-2.87
63630	70	187.23
63631	553	-0.09
63696	505	-2.06
63696	553	-0.82
63762	505	499.04
63772	505	5.34
63774	505	256.4
63801	505	227.43
63837	553	1.41
63837	554	1.88
63838	553	1.32
63838	554	1.55
63839	553	0.54
63839	554	0.64
63847	553	0.23
63847	554	0.26
63877	70	-160.32
63883	70	-0.01
63960	71	-115.65
63967	70	0.270000000000003
63985	71	-32.17
63997	70	26.64
63999	70	100.82
63999	71	40.57
64004	71	-834.15
64056	59	271.8
64111	502	-97.58
64111	504	-42.65
64111	52	4.91
64112	57	205.34
64113	57	-42.81
64142	502	-55.74
64142	504	14.9
64143	57	-137.63
64144	502	-828.72
64144	504	-142.71
64144	52	119.99
64144	57	-246.08
64144	59	-302.82
64152	57	-65.4
64153	502	-422.23
64153	504	-80.01
64153	52	230
64154	57	-116.67
64155	57	-0.45
64156	501	-670.56
64156	57	1621.45
64163	52	7.11
64177	57	-1.29
64180	57	-211.95
64182	57	-268.63
64188	57	-23.21
64192	57	48.74
64194	57	-183.25
64197	57	-21.24
64224	553	77.59
64224	554	80.1
64231	553	14.49
64245	553	-0.15
64255	553	69.93
64260	553	0.23
64260	554	0.39
64275	59	-143.9
64284	59	21.36
64324	59	528.86
64356	59	2.66
64451	501	-1.84
64453	57	-0.16
64464	501	-1.71
64465	57	8.00000000000001E-02
64478	501	-173.27
64478	57	304.13
64480	64	-402.67
64481	64	112.05
64483	501	20.06
64497	59	1.32
64499	59	41.23
64552	73	-21.53
64553	73	-29.88
64597	70	-1073.26
64613	64	-9.2
64630	86	0.13
64631	86	-1.93
64638	70	-413.82
64640	86	-13.26
64641	86	-274.83
64642	70	-1.92
64648	64	-31.71
64654	71	16.24
64714	86	-28.09
64716	70	-30.42
64716	86	-54.36
64718	70	47.82
64719	70	-21.21
64723	66	-48.86
64723	86	-60.64
64726	70	-337.26
64728	70	-14.48
64728	86	72.49
64748	66	305.53
64751	70	-3.86
64769	64	-79.19
64770	66	-20.64
64781	66	-5.04
64782	66	1415.25
64807	57	288.32
64812	65	26.83
64820	57	20.96
64848	86	360.14
64853	501	300.86
64856	57	205.16
64857	57	165.24
64875	86	5.02
64877	86	34.86
64892	66	-22.76
64896	66	682.99
64933	57	229.76
64941	57	103.71
64943	66	5541.29
64955	65	-482.35
65009	505	-301.33
65307	59	1523.1
65311	59	393.35
65312	59	12
65426	52	1.32
65500	86	274.05
65510	86	540.1
65542	65	1018.99
65544	65	14.75
65621	51	191.37
65654	51	-3.76
65663	51	134.79
65667	60	-0.08
65676	60	89.12
65725	51	834.47
65849	59	18.69
65861	59	309.35
65917	59	3.41
65970	52	268.96
66091	52	23.2
66165	51	46.91
66175	37	0.06
66227	37	27.55
66227	52	29.63
66240	35	89.35
66240	36	20.94
66242	35	74.92
66242	36	9.52
66243	36	25.62
66291	51	-299.21
66294	51	9.84
66298	51	362.23
66360	34	-3.72
66365	35	0.1
66365	36	-0.02
66372	14	-6.15
66372	30	7.35
66372	35	-5.91
66372	37	-3.94
66372	40	0.49
66372	50	113.41
66372	51	-4.91
66376	30	0.48
66380	36	2.61
66397	35	19.03
66397	37	11.12
66399	35	189.91
66399	36	52.67
66413	37	0.01
66427	36	8.58
66429	36	3.2
66437	36	-0.01
66438	35	66.29
66440	35	24.69
66513	40	-0.05
66517	40	-0.86
66519	40	540.85
66540	36	16.46
66592	59	1.32
66606	59	0.33
66612	59	5.53
66635	59	-17.38
66818	52	0.07
66832	52	2.53
66890	35	177.29
66934	34	-218.48
66941	34	-8.34
66944	34	-26.75
66952	34	-11.09
67005	32	-10.81
67005	33	479.02
67005	40	41.93
67005	50	61.21
67006	32	6926.12
67006	33	712.68
67006	40	-195.71
67006	50	-286.16
67135	505	-0.27
67136	70	151.29
67137	553	8.34
67137	554	8.66
67142	553	-0.07
67142	554	-0.06
67198	64	-5.19
67201	66	813.31
67202	57	288.44
67202	66	508.66
67208	86	284.54
67209	86	-5.03
67239	52	115.99
67241	52	1438.75
67319	60	-0.27
67358	51	24.17
67360	51	88.4
67361	37	4.85
67361	52	37.68
67366	52	203.24
67375	35	129.52
67375	36	21.3
67375	37	123.4
67391	34	-307.33
67399	14	1.52
67399	30	17.37
67399	35	219.84
67399	36	22.05
67399	37	136.53
67399	51	160.84
67464	505	1.93
67503	501	-0.24
67516	30	-89.79
67516	34	-208.39
67516	35	-97.2
67516	36	-18.85
67516	37	-73.4
67516	40	-60.51
67516	50	-83.57
67516	51	-34.92
67531	40	20.62
67531	50	30.14
67535	32	-0.03
67635	73	-20.18
67646	71	-6.07
67646	73	86.22
67649	71	48.1
67649	73	-7.54
67664	59	2.69
67743	64	-2.37
67776	64	595.31
67815	36	4.39
69373	553	1.3
69390	70	0.01
71046	553	0.04
71119	70	-50.49
71452	553	92.29
71454	553	58.17
71716	354	-59.05
71851	354	0.32
71980	350	-6.8
71980	354	-14.48
71987	354	-21.25
72045	354	-129.16
72175	354	-56.26
72190	354	0.16
72728	350	-0.71
72922	350	-109.24
73236	62	2.16
73236	76	0.46
73283	76	11.35
73445	76	-118.87
73470	62	2.83
73470	76	2.62
73473	62	2.26
73473	76	0.71
73483	62	124.61
73534	62	2.08
73534	76	0.64
73580	78	0.38
73583	78	0.24
73624	62	-52.93
73625	78	-0.07
73630	62	-131.27
73697	79	-0.11
73719	79	18.59
73729	67	-15.13
73729	79	-17.32
73743	350	-25.02
73743	79	-5.27
73808	87	-25.92
73814	77	-424.49
73820	350	-205.74
73820	77	-182.79
73820	79	-128.23
73844	77	-23.12
73852	350	-22.37
73852	79	-15.44
73854	87	91.41
73856	350	-66.91
73856	77	-257.14
73856	79	-39.06
73871	77	-189.26
73899	80	-113.73
73899	94	-129.83
73906	80	-1.43
73906	94	-0.47
73916	94	-0.22
73916	95	-0.34
73926	94	-0.03
73948	87	-2.93
73948	88	-0.09
73948	89	-4.85
73957	87	237.85
73957	88	313.77
73957	89	-4.85
73964	89	73.35
74012	87	-290.78
74012	88	904.11
74012	89	240.95
74020	87	-25.54
74020	88	-23.38
74043	87	84.15
74043	88	1277.06
74137	74	-5.28
74137	75	-79.71
74137	78	-9.47
74143	74	19.9
74143	75	-0.76
74143	78	18.3
74145	74	-544.08
74145	75	-179.1
74145	78	-505.98
74184	72	1021.86
74203	74	147.14
74203	75	56.4
74203	78	135.38
74207	72	929.8
74237	75	-148.14
74268	73	-0.08
74277	73	-0.07
74389	73	0.68
74452	73	0.68
74483	73	188.71
74490	73	7.65
74502	73	0.68
74579	554	-4.02
74581	554	-1.38
74607	554	-11.27
74640	554	-0.04
74649	554	2.41
74651	554	9.44
74663	554	0.1
74692	554	21.86
74857	553	1.1
74857	70	14.49
74859	554	8.82
74870	70	5.5
74874	553	0.66
74874	70	1.03
75030	88	137.67
75044	553	0.66
75044	70	2.14
75046	70	2.63
75132	62	-23.52
75177	350	-1.28
75223	76	5.55
75223	78	1.54
75239	62	-1.26
75239	78	-0.89
75241	77	-7.23
75252	77	-4.35
75257	94	5.12
75268	87	-2.06
75280	83	9.23
75307	73	0.68
75347	350	-523.03
75347	79	-330.04
75350	350	-52.29
75384	73	0.68
75390	87	-7.68
75390	88	-10.5
75390	89	106.66
75395	67	-118.45
75405	88	68.14
75410	94	-21.61
75410	95	-9.32
75411	350	-0.71
75416	94	-0.34
75417	95	-58.2
75418	94	-0.45
75431	350	-0.35
75469	354	14.19
75472	350	1.9
75472	354	1.08
75476	350	-0.32
75503	553	1.07
75510	70	2.49
75515	70	-2.21
75535	554	-1.17
75537	554	38.8
75559	505	93.72
75559	553	36.4
75559	70	118.39
75562	554	-0.52
75696	554	-0.12
75735	70	1.27
75758	70	119.93
75774	554	0.18
75784	554	0.75
75844	73	295.19
75938	554	-57.26
75938	73	47.16
75971	554	0.5
76028	73	-33.02
76031	73	393.65
76093	78	-0.32
76134	75	-3.25
76141	74	-18.4
76141	75	-7.67
76162	75	-0.09
76283	74	-1.18
76283	75	-2.41
76303	74	-29.88
76303	75	-14.88
76312	78	-0.23
76321	74	-1.44
76321	75	-0.91
76323	75	-7.99
76343	72	-18.11
76359	72	26.99
76381	78	-15.07
76395	74	-0.95
76395	78	-1.82
76397	74	-154.66
76397	78	-152.52
76408	62	-82.59
76408	67	89.97
76408	76	-45.79
76418	83	696.88
76457	72	-0.56
76457	74	328.26
76457	75	125.75
76457	78	301.73
76459	72	-46.46
76459	74	460.84
76459	75	149.4
76459	78	414.76
76535	83	18.52
76572	74	-1.6
76593	78	-9.8
76605	350	-22.97
76608	350	-341.77
76608	62	-145.85
76608	67	-12.13
76608	76	-221.49
76608	79	-224.84
76633	350	-131.44
76633	79	-78.93
76641	350	-0.28
76641	79	-11.13
76669	350	-57.6
76669	77	-104.95
76669	79	-33.59
76675	350	-51.15
76680	77	-19.86
76681	67	-7.2
76681	77	-17.25
76692	77	0.73
76693	80	-25.36
76694	350	-32.35
76698	350	19.87
76705	350	10.84
76705	79	-6.23
76828	78	-60.95
76845	78	-105.64
76867	67	-8.76
76868	78	-107.72
76872	76	-0.66
76879	78	-2.37
76882	62	-6.71
76882	76	-3.62
76896	62	-0.05
76896	67	-0.96
76942	89	0.99
76955	87	-282.74
76967	80	-0.09
76967	94	-0.1
76980	77	-31.33
76980	80	-17.02
76980	87	-55.58
77000	62	-1.63
77000	76	-1.7
77003	78	-2.37
77054	77	0.67
77057	77	-3.87
77057	79	-0.03
77075	62	4.43
77075	78	5.25
77154	350	65.75
77198	80	-4.54
77198	94	-0.4
77200	94	-1.03
77256	79	-0.9
77291	78	-2.37
77292	62	-1.66
77292	76	3.59
77292	78	-0.89
77310	78	0.77
77336	77	-206.36
77336	79	17.59
77337	62	-27.36
77338	77	8.84
77438	76	0.14
77534	76	-115.08
77541	76	2.34
77584	62	14.76
77605	62	16.86
77605	76	15.88
77609	62	2.25
77609	76	0.52
77612	62	2.05
77612	76	0.46
77708	62	-47.35
77868	350	-69.96
77868	354	13.74
78034	95	-0.51
78092	95	-0.08
78096	134	-2.55
78096	95	-4.14
78098	95	-148.29
78317	354	13.94
78657	350	-23.45
78683	350	-86.66
78883	67	-2.61
78889	62	-39.32
78889	67	-1.3
78889	76	-64.28
78889	78	-0.82
78908	554	-0.4
78947	77	-0.77
79062	70	0.01
79176	14	33.4
79176	30	1056.26
79176	32	64.68
79176	33	0.47
79177	32	-0.57
79177	33	0.89
79178	14	0.04
79178	32	28.03
79178	33	-5.49
79179	14	0.92
79179	33	0.07
79187	17	0.81
79188	18	9.25
79188	20	0.94
79188	210	-455.66
79205	210	7.3
79206	210	-0.08
79208	211	104.11
79211	210	-37.79
79211	211	-74.7
79227	215	3.67
79232	215	0.38
79244	210	-3.54
79249	210	-45.85
79252	210	-22.41
79260	20	58.59
79261	210	-188.42
79417	240	-0.09
79443	240	-0.02
79469	27	468.93
79481	240	-0.07
79488	240	-0.02
79494	21	-0.19
79501	240	164.76
79592	29	-0.01
79593	31	1.55
79597	22	39.89
79597	23	5.8
79629	18	0.24
79629	21	130.93
79629	215	-7.61
79629	240	0.57
79629	45	0.22
79690	21	-205.67
79699	45	1.01
79721	28	0.1
79721	29	0.1
79766	23	-3.68
79801	23	-1.41
79803	23	2423.42
79804	23	291.3
79847	22	73.51
79847	45	1.33
79861	15	274.49
79861	210	199.21
79872	17	15.45
79886	15	10.17
79894	15	33.94
79894	17	18.8
79894	19	8.33
79902	18	-0.03
79903	18	0.13
79907	17	13.32
79908	17	2.07
79908	19	1.2
79909	15	-33.68
79915	15	25.81
79916	15	1621.76
79916	17	95.51
79940	17	153.87
79972	23	992.37
79983	16	0.08
79984	14	-0.05
79984	29	6.94
79984	45	0.5
80054	17	344.97
80056	15	327.27
80056	17	206.62
80059	15	269.19
80059	17	2.68
80064	15	1.4
80068	17	232.37
80079	19	0.02
80079	23	18.12
80087	28	-1.04
80129	18	44.64
80130	18	0.62
80137	18	0.82
80138	18	378.68
80158	17	5.12
80198	18	8.9
80246	18	341.96
80247	16	0.29
80247	17	0.3
80255	16	99.54
80255	17	215.36
80257	17	-4.4
80263	8	0.77
80267	16	-23.29
80270	18	13.32
80271	16	-59.71
80271	17	-0.35
80282	16	-2.86
80284	16	192.13
80366	24	-20.74
80376	32	48.65
80380	24	52.2
80390	24	45.35
80419	32	1.43
80421	32	40.8
80421	33	30.98
80423	32	5.87
80424	32	14.9
80424	33	1.73
80428	32	19.31
80446	32	19.13
80446	33	1.94
80450	24	22.67
80451	24	-21.27
80531	30	32
80566	33	0.03
80576	14	14.61
80576	30	268.12
80693	28	-0.03
80693	29	0.04
80733	14	0.59
80744	30	-4.87
80744	35	-4.73
80744	37	-4.47
80744	40	-2.79
80744	50	-4.44
80744	51	19
80806	34	2.03
80809	30	17.36
80809	35	15.8
80809	36	5.79
80809	50	15.78
80809	51	15.79
80824	39	3.98
80834	39	0.29
80846	42	11.36
80853	42	9.26
80854	42	84.84
80856	42	5.49
80880	39	326.24
80882	39	-0.62
80889	39	187.66
80889	41	0.01
80925	44	71.8
80927	44	22.62
80947	14	0.88
80947	19	7.95
80950	14	-2.77
80950	19	0.47
80950	23	1.25
80956	23	433.74
80956	28	483.24
80957	14	0.07
81002	39	330.28
81010	39	43.77
81010	41	0.83
81017	39	-7.68
81017	41	15.4
81025	39	0.14
81050	39	32.57
81050	41	39.09
81083	41	-6.63
81138	44	647.62
81185	14	16.2
81228	66	274.35
81248	14	95.52
81265	39	169.1
81265	66	301.11
81277	14	-0.26
81277	41	0.06
81282	14	-0.94
81282	41	0.05
81314	41	1.08
81315	15	56.57
81315	41	4.58
81328	45	1341.56
81332	15	5.03
81332	41	0.29
81352	15	339.87
81352	41	15.92
81357	15	446.14
81360	41	306.31
81407	23	0.19
81438	15	195.64
81438	41	101.21
81438	45	329.98
81448	15	11.89
81448	41	0.2
81471	15	35.18
81494	8	43.42
81510	16	1.42
81510	17	0.22
81521	7	-1626.73
81521	9	124.92
81531	7	-122.69
81531	9	-269.24
81532	7	0.02
81532	9	-0.02
81534	7	-362.89
81534	9	-547.89
81566	7	-489.84
81584	7	-385.61
81628	9	-24.91
81634	4	163.28
81634	7	-1079.42
81637	459	164.89
81641	9	-76.14
81681	9	-739.04
81682	9	2640.82
81696	9	146.41
81758	9	70.16
81767	9	-2666.38
81771	SILVER	1273.49
81773	11	-92
81773	SILVER	57.23
81777	11	-73.9
81777	SILVER	2977.03
81780	501	-227.44
81783	501	-439.81
81783	504	-332.07
81783	505	-268.8
81783	553	-49.81
81783	554	-46.09
81790	15	-12.08
81790	22	-0.44
81790	23	-12.08
81790	28	-12.08
81791	14	0.3
81791	15	212.7
81791	23	20.83
81791	44	-4.99999999999998E-02
81791	45	-9.14
81791	47	-1.77
81791	66	256.8
81793	15	13.01
81793	41	-0.03
81793	66	116.36
81794	66	10
81813	47	417.14
81821	47	-0.1
81821	8	99.5
81824	8	-3.62
81835	47	-0.01
81839	8	-48.42
81839	SILVER	291.17
81865	43	52.66
81873	9	-143.54
81874	39	-200.53
81874	9	-206.3
81879	43	-0.71
81905	116	-204.82
81905	117	-112.19
81905	120	-4.45
81913	116	-186.24
81913	117	-186.24
81917	116	91.35
81917	117	91.35
81917	120	-40.8
81926	120	-3.52
81928	120	-39.51
81963	39	-2.07
81969	65	-9.98
81989	66	947.86
82022	39	-183.52
82025	60	-116.33
82026	47	494.33
82026	CT2	-57.18
82051	55	5776.33
82083	39	-345.53
82103	11	-25.4
82109	501	-320.79
82109	505	-384.94
82109	554	-64.15
82109	7	-22.01
82112	55	-17.94
82143	43	-498.25
82143	55	-199.31
82178	66	2521.37
82242	1	-335.81
82251	CT2	217.99
82265	1	-0.66
82271	1	2171.13
82277	47	502.07
82297	47	-0.86
82312	47	48.26
82314	64	83.59
82316	64	33.62
82362	64	-14.48
82364	70	-26.36
82365	64	-66.77
82365	70	-53.09
82400	69	61.53
82406	69	-0.01
82426	69	2050.12
82432	69	-1093.19
82451	85	1669.31
82451	CT2	4005.36
82510	64	-63.9
82510	91	21.17
82517	CT2	86.45
82521	69	1253.67
82534	91	83.39
82554	69	119.22
82579	1	-0.02
82584	64	-125.41
82584	91	1696.54
82599	70	-105.4
82606	64	-37.32
82606	70	-19.66
82611	70	-350.44
82615	1	50.5
82622	1	-250.83
82622	68	-3.94
82622	69	-87.07
82643	9	11426.65
82657	240	6.94
82675	211	43.97
82686	211	0.39
82702	211	0.99
82703	211	1.2
82704	240	-0.33
82708	27	22.14
82712	215	30.94
82739	210	-111.1
82741	20	-604.71
82774	18	23.36
82778	21	161.7
82778	215	-21.54
82778	240	-0.25
82792	16	-40.74
82795	7	0.01
82795	9	-0.01
82798	47	34.44
82798	8	725.14
82799	1	-11.61
82799	43	-31.71
82800	43	31.54
82801	43	97.73
82806	SILVER	2747.97
82807	8	21.13
82809	SILVER	1732.54
82828	SILVER	1586.36
82835	SILVER	1849.39
82840	1	-1364.82
82843	1	-294.29
82845	1	-550.09
82850	4	-22.38
82853	1	50.36
82853	91	439.32
82859	69	9.36
82862	1	216.91
82931	210	-38.93
82983	210	-1.01
83018	210	-0.05
83029	210	-4.66
83221	210	-0.14
83228	210	-0.53
83260	211	136.43
83409	211	-0.4
83415	211	-250.93
83493	211	147.57
83690	215	-112.48
83841	47	50.61
83842	47	36.94
83845	60	70.82
83845	65	-82.59
83845	8	-409.88
83845	CT2	-189.18
83860	64	122.52
83860	68	-41.94
83862	68	-0.64
83862	83	78.5
83862	91	-6.91
83866	64	-179.27
83872	225	20.53
83877	216	-53.91
83877	220	-162.5
83877	222	-151.85
83877	238	-0.2
83880	225	-130.54
83882	238	-80.26
83883	214	-85.58
83883	215	-19.96
83883	216	-84.95
83883	220	-161.04
83883	222	-135.86
83883	225	-71.78
83883	230	-5.85
83883	236	-73.94
83883	238	-35.89
83884	210	-9.95
83884	211	-3.21
83897	211	2.79
83930	211	0.09
83968	215	-17.35
84024	211	-92.54
84027	210	-23.75
84202	211	-0.4
84259	69	721.5
84259	85	351.15
84259	CT2	978.39
84379	32	-456.36
84395	24	54.91
84395	32	17.75
84398	32	-0.06
84411	32	88.27
84441	215	-250.09
84571	215	-70.25
84604	240	-3.18
84614	240	-0.18
84647	21	1708.58
84658	21	-0.03
84669	27	253.42
84682	57	-15.01
84712	32	3.07
84712	33	0.43
84713	32	1492.34
84713	33	57.57
84781	30	0.83
84801	29	-26.06
84801	31	-2.29
84807	30	145.56
84810	30	1.25
84811	30	5.95
84819	30	-0.4
84824	30	214.69
84826	30	-1.4
84829	30	-1.7
84832	30	-0.16
84833	30	0.31
84843	28	0.01
84843	31	0.01
84844	28	1.24
84844	29	0.85
84844	31	-0.05
84846	30	-2.08
84847	30	35.99
84849	30	205.09
84850	28	-36.89
84850	29	-124.42
84850	31	-8.29
84851	27	-10.8
84852	30	-2.97
84877	28	0.01
84893	28	0.11
84893	31	0.1
84903	14	7.85
84903	32	-2.95
84903	33	-0.33
84905	14	2.62
84927	14	7.27
84928	30	4.59
84932	30	-0.34
84933	14	0.03
84933	33	0.03
84935	14	0.04
84935	32	45.35
84936	32	11.93
84939	14	1.43
84954	14	-61.51
84956	14	1.24
84991	32	43.98
84991	33	0.28
85004	32	13.77
85014	30	8.05
85014	34	2.21
85014	35	5.95
85014	36	7.66
85014	37	9.99
85014	40	7.06
85014	50	7.14
85014	51	7.67
85029	32	5.15
85029	33	0.89
85069	32	8.03
85069	33	-0.18
85073	32	0.37
85073	33	0.08
85075	32	29.79
85075	33	4.73
85082	21	0.02
85082	31	-0.1
85091	34	0.13
85091	36	-15.66
85091	37	-10.67
85091	40	-4.21
85091	51	27.47
85093	16	158.03
85093	21	562.29
85093	32	1949.59
85093	33	56.59
85093	34	5.83
85093	42	2.33
85097	32	505.35
85097	33	5.11
85097	34	-3.6
85098	42	0.97
85107	31	0.14
85108	16	-9.91
85108	21	-15.24
85108	31	-11.96
85108	39	-2.19
85109	21	262.42
85109	31	273.66
85109	32	51.99
85109	42	-0.53
85112	39	-97.38
85113	39	2.46
85115	31	22.06
85118	31	13.24
85119	31	-0.06
85122	16	16.71
85129	21	0.02
85138	29	116.48
85139	28	0.05
85139	29	34.86
85141	29	15.99
85149	28	-0.71
85149	31	-0.68
85150	21	-31.11
85154	21	-0.03
85165	21	1163.73
85165	31	1.52
85167	31	-0.09
85169	29	1.74
85170	29	-0.01
85175	29	373.62
85175	31	-0.05
85176	21	146.45
85176	29	14.16
85176	31	54.76
85177	31	0.08
85218	22	79.36
85218	45	2.58
85224	29	2.49
85233	29	3.76
85233	45	1.35
85237	14	-0.74
85247	21	-0.03
85247	31	1.88
85248	14	0.02
85248	29	0.03
85249	14	0.1
85249	22	67.37
85249	29	22.57
85258	22	-28.47
85258	28	-23.97
85267	21	-0.09
85288	22	255.79
85288	23	43.98
85289	22	7.63
85298	22	512.18
85298	23	41.23
85302	22	282.94
85302	23	335.55
85302	45	1241.96
85308	240	10.18
85309	215	-8.73
85318	21	958.82
85318	215	-23.12
85318	240	55.83
85318	27	0.15
85319	18	21.01
85320	22	517.64
85320	23	-220.02
85322	22	246.54
85322	23	-4.03
85367	210	-0.04
85369	210	0.04
85371	20	-1.2
85442	210	-54.37
85455	18	2.27
85456	18	6.8
85456	210	-202.09
85464	17	3.27
85466	15	12.68
85466	17	135.31
85466	19	12.02
85495	23	-0.87
85498	23	917.99
85500	15	60.27
85500	17	66.1
85500	19	21.37
85503	17	322.38
85503	19	526.04
85507	17	508.65
85510	17	7.36
85513	19	4.56
85550	16	-10.32
85550	23	0.23
85552	23	4.81999999999999
85564	16	106.94
85567	16	-0.3
85568	16	0.62
85615	18	706.53
85636	15	78.47
85636	17	139.07
85638	15	0.2
85639	15	68.97
85643	15	15.4
85647	17	0.08
85687	16	0.11
85702	16	-33.94
85745	16	125.15
85748	41	19.67
85753	18	97.98
85754	8	988.33
85755	41	40.1
85757	18	4.66
85762	16	-1.84
85777	18	841.5
85790	16	-0.73
85795	8	1240.02
85806	16	-0.51
85819	16	37.29
85819	17	42.84
85835	41	10.69
85835	8	135.31
85836	15	18.62
85836	17	101.02
85836	41	122.58
85839	15	389.57
85839	17	-34.77
85840	16	-7.35
85840	17	-2.06
85840	41	33.64
85842	16	0.55
85848	16	0.13
85852	41	756.63
85901	22	31.32
85901	28	0.5
85915	14	-0.11
85916	22	64.44
85920	14	6.72
85920	45	1.6
85921	23	11.44
85922	14	0.7
85922	19	4.42
85922	23	71.81
85922	28	17.87
85922	45	18.28
85931	14	0.2
85932	19	1.06
85933	45	5.38
85934	14	-5.21
85934	19	6.4
85934	23	115.25
85934	28	96.34
85939	14	1.18
85939	23	56.35
85939	28	125.5
85957	29	6.54
85964	29	-0.19
85964	44	-3.58
85966	22	-24.78
85966	29	10.18
85966	44	-130.41
85970	22	-1.65
85976	16	0.03
85980	28	-7.18
85981	29	-0.05
86020	29	0.66
86022	22	15.37
86051	31	-0.77
86075	39	-1.31
86075	41	-0.22
86147	39	-1.6
86147	41	1.85
86200	39	0.2
86204	39	338.84
86212	44	0.06
86213	44	19.27
86221	22	247.47
86221	29	5.41
86222	42	6.07
86224	44	0.49
86225	22	-0.35
86225	29	9.94
86226	29	0.01
86228	29	2.31
86228	44	1.91
86233	29	3.39
86241	44	8.85
86244	29	1.35
86244	44	0.07
86247	22	35.79
86276	19	1.3
86276	23	-40.1
86276	28	-47.45
86277	14	0.22
86310	14	0.06
86315	28	0.24
86316	14	0.05
86318	19	0.81
86318	23	2.1
86327	1	-66.24
86327	14	32.26
86327	15	985.55
86327	19	79.79
86327	23	10.35
86327	28	9.58
86327	41	260.8
86327	42	68.94
86327	45	357.48
86327	47	-2.23
86327	66	-7.43
86328	23	2.59
86328	28	2.67
86335	23	0.07
86344	14	0.12
86344	44	1.75
86345	41	5.84
86345	45	10.33
86385	41	57.41
86385	45	121.96
86386	15	264.19
86390	19	0.72
86392	28	-34.6
86392	44	28.36
86394	15	0.28
86394	23	9.36
86394	28	8.82
86394	66	60.36
86401	41	0.1
86424	23	209.62
86424	28	-10.03
86424	41	0.03
86424	42	4.54
86424	44	7.94
86425	15	1200.21
86425	23	1204.14
86425	28	112.79
86425	42	9.5
86425	44	-6.59
86425	45	427.1
86425	66	1501.84
86433	15	37.51
86433	41	3.24
86437	15	594.61
86437	41	46.61
86441	41	141.18
86445	15	5.19
86458	23	549.94
86458	28	121.39
86458	41	0.57
86458	42	0.27
86464	15	101.67
86464	28	10.69
86464	66	100.29
86475	19	0.43
86475	47	-0.15
86477	1	-39.86
86477	15	-49.15
86477	23	-11.02
86477	28	-16.37
86477	42	-0.55
86477	66	262.06
86477	SILVER	583.19
86484	8	54.45
86485	15	3.86
86485	23	3.86
86485	28	3.86
86488	19	-6.66
86488	8	-302.73
86489	8	-37.62
86492	43	-0.04
86493	19	16.67
86493	47	105.87
86495	1	287.12
86495	SILVER	2749.49
86521	19	32.85
86525	15	189.45
86525	19	98.97
86525	22	660.67
86525	23	36.96
86525	28	-100.55
86525	29	-91.76
86525	42	-2.86
86525	43	-0.78
86525	44	-30.3
86525	45	-57.44
86525	8	1549.66
86526	15	-17.95
86526	22	-11.11
86526	23	-17.95
86526	28	-17.95
86526	29	-0.62
86526	42	-0.39
86526	44	-0.83
86526	45	-0.83
86527	22	90.67
86527	23	60.56
86527	28	3.54
86527	29	9.07
86527	42	-4.12
86527	44	-5.83
86527	45	41.9
86528	8	70.05
86529	1	-21.5
86529	47	-0.08
86530	47	-0.4
86534	15	-11.75
86534	23	-11.75
86534	28	-11.75
86534	8	512.31
86536	47	0.45
86540	22	0.53
86540	29	0.18
86543	15	518.42
86543	22	731.61
86543	23	332.35
86543	28	-11
86543	29	40.39
86543	42	0.37
86543	44	-3.73
86543	45	65.63
86544	22	0.4
86544	29	0.01
86545	22	-9.83
86545	29	-1.76
86545	44	-2.39
86547	23	-2.23
86547	28	-2.4
86576	14	126.33
86576	41	105.77
86580	41	-3.97
86583	41	3.04
86588	22	378.73
86634	14	-0.399999999999999
86634	41	0.77
86637	66	1808.85
86652	47	11.29
86652	CT2	4563.15
86656	47	1312.92
86656	8	-2248.81
86659	39	-296.52
86659	66	20.18
86660	39	-87.43
86660	CT2	-3.04
86688	39	-59.62
86692	60	39.93
86692	65	-61.67
86698	39	-44.88
86698	66	323.13
86711	14	94.45
86712	39	104.14
86731	47	-150.65
86731	CT2	1253.21
86732	39	-138.63
86742	14	0.6
86747	39	121.75
86749	8	-214.3
86749	CT2	166.33
86787	60	-0.19
86791	66	29.35
86798	60	-93.59
86798	65	-176.23
86801	65	-153
86807	66	605.22
86808	66	15.22
86809	66	258.65
86820	39	528
86820	66	2074
86821	39	133.57
86821	66	1402.1
86829	66	-1.71
86836	66	640.31
86868	66	233.77
86875	66	2675.72
86882	66	1607.24
86913	57	41.39
86916	57	19.19
86920	CT2	1881.27
86922	47	-50.25
86922	57	1577.94
86922	CT2	-74.16
86924	57	1265.36
86927	47	120.31
86931	57	-111.31
86943	CT2	1008.37
86952	47	236.53
86952	CT2	-393.84
