O,D,DIFF
1.0,206.0,-102
1.0,243.0,-178
1.0,246.0,-186
1.0,247.0,-183
1.0,257.0,-194
1.0,77.0,-108
1.0,82.0,-124
1.0,83.0,-154
1.0,84.0,-130
10.0,151.0,-118
103.0,104.0,-451
103.0,105.0,-101
104.0,282.0,-239
104.0,364.0,-121
106.0,261.0,-129
106.0,364.0,-103
107.0,364.0,-197
108.0,364.0,-208
109.0,364.0,-306
11.0,13.0,-224
11.0,201.0,-107
11.0,208.0,-136
11.0,213.0,-106
11.0,214.0,-103
11.0,215.0,-261
11.0,243.0,-159
11.0,245.0,-132
11.0,246.0,-111
11.0,248.0,-131
11.0,251.0,-149
11.0,253.0,-133
11.0,257.0,-338
11.0,258.0,-111
11.0,261.0,-109
11.0,271.0,-121
11.0,273.0,-105
11.0,279.0,-117
11.0,316.0,-112
11.0,318.0,-220
11.0,367.0,-101
11.0,69.0,-345
11.0,71.0,-545
11.0,77.0,-368
11.0,82.0,-152
11.0,83.0,-121
110.0,261.0,-222
111.0,364.0,-283
112.0,261.0,-249
112.0,282.0,-114
113.0,261.0,-116
12.0,13.0,-117
12.0,215.0,-127
12.0,251.0,-102
12.0,257.0,-115
12.0,318.0,-105
12.0,71.0,-127
12.0,77.0,-181
13.0,14.0,-124
13.0,15.0,-132
13.0,21.0,-115
13.0,23.0,-115
13.0,25.0,-102
13.0,261.0,-149
13.0,34.0,-126
13.0,37.0,-165
13.0,39.0,-105
14.0,261.0,-233
143.0,151.0,-299
143.0,152.0,-210
143.0,154.0,-176
143.0,155.0,-239
143.0,156.0,-195
143.0,158.0,-129
143.0,215.0,-153
143.0,232.0,-114
143.0,318.0,-123
143.0,424.0,-118
143.0,430.0,-115
144.0,154.0,-120
144.0,155.0,-186
145.0,149.0,-123
145.0,154.0,-220
145.0,155.0,-327
146.0,151.0,-441
146.0,152.0,-152
146.0,153.0,-111
146.0,154.0,-456
146.0,155.0,-354
146.0,158.0,-118
146.0,236.0,-129
146.0,422.0,-102
146.0,426.0,-104
148.0,153.0,-118
148.0,154.0,-163
148.0,155.0,-121
149.0,155.0,-106
15.0,25.0,-152
15.0,261.0,-160
150.0,151.0,-168
150.0,154.0,-181
150.0,155.0,-134
156.0,260.0,-124
158.0,261.0,-738
16.0,243.0,-182
16.0,246.0,-147
16.0,247.0,-136
16.0,257.0,-126
16.0,69.0,-102
163.0,424.0,-102
164.0,165.0,-174
164.0,424.0,-126
164.0,430.0,-123
172.0,424.0,-204
172.0,425.0,-174
172.0,430.0,-135
176.0,425.0,-223
177.0,424.0,-295
177.0,430.0,-199
177.0,438.0,-118
178.0,424.0,-164
178.0,430.0,-128
178.0,961.0,-122
178.0,966.0,-101
179.0,261.0,-116
18.0,210.0,-128
18.0,69.0,-592
18.0,71.0,-461
19.0,209.0,-106
19.0,69.0,-128
19.0,70.0,-138
19.0,71.0,-111
19.0,72.0,-128
19.0,73.0,-130
19.0,79.0,-146
196.0,198.0,-144
197.0,420.0,-146
199.0,420.0,-273
199.0,422.0,-282
2.0,243.0,-184
2.0,246.0,-148
2.0,247.0,-141
2.0,257.0,-141
2.0,82.0,-108
2.0,83.0,-106
2.0,84.0,-102
20.0,210.0,-324
20.0,69.0,-698
20.0,70.0,-127
20.0,71.0,-447
20.0,72.0,-124
201.0,202.0,-3085
201.0,203.0,-576
201.0,206.0,-135
201.0,209.0,-218
201.0,210.0,-215
201.0,212.0,-103
201.0,215.0,-197
201.0,261.0,-127
202.0,204.0,-229
202.0,210.0,-503
202.0,211.0,-341
202.0,212.0,-388
202.0,213.0,-299
202.0,214.0,-300
202.0,215.0,-620
202.0,223.0,-246
202.0,224.0,-121
202.0,228.0,-134
202.0,302.0,-112
202.0,304.0,-118
202.0,305.0,-115
202.0,307.0,-112
202.0,310.0,-102
202.0,312.0,-128
202.0,316.0,-203
202.0,317.0,-146
202.0,318.0,-229
202.0,319.0,-119
202.0,320.0,-138
202.0,321.0,-117
202.0,324.0,-113
202.0,442.0,-111
202.0,443.0,-145
203.0,209.0,-154
203.0,210.0,-500
203.0,211.0,-182
203.0,212.0,-200
203.0,213.0,-202
203.0,214.0,-182
203.0,215.0,-341
203.0,223.0,-100
203.0,303.0,-104
203.0,321.0,-113
204.0,206.0,-865
204.0,207.0,-229
204.0,215.0,-218
204.0,216.0,-337
204.0,261.0,-118
205.0,206.0,-531
205.0,207.0,-279
205.0,216.0,-135
206.0,207.0,-862
206.0,208.0,-751
206.0,210.0,-158
206.0,211.0,-115
206.0,212.0,-230
206.0,213.0,-121
206.0,214.0,-135
206.0,215.0,-320
206.0,217.0,-577
206.0,218.0,-150
206.0,223.0,-243
206.0,224.0,-132
206.0,228.0,-118
206.0,316.0,-140
206.0,317.0,-117
206.0,318.0,-230
206.0,319.0,-136
206.0,320.0,-170
206.0,321.0,-102
206.0,324.0,-112
207.0,208.0,-284
207.0,210.0,-300
207.0,211.0,-563
207.0,212.0,-344
208.0,216.0,-180
209.0,210.0,-363
209.0,211.0,-221
209.0,212.0,-187
209.0,213.0,-180
209.0,214.0,-144
209.0,215.0,-331
209.0,223.0,-103
21.0,209.0,-203
21.0,210.0,-720
21.0,215.0,-117
21.0,243.0,-108
21.0,318.0,-114
21.0,69.0,-863
21.0,70.0,-232
