O,D,VAL
5300000000000013,5319910000000111,10
5300000000000013,5319910000000112,170
5300000000000013,5319910000000113,185
5300000000000013,5319910000000114,80
5300000000000013,5319910000000115,55
5300000000000013,5319910000000116,115
5300000000000013,5319910000000117,25
5300000000000013,5319910000000118,90
5300000000000013,5319910000000119,70
5300000000000013,7214220000000173,4
5300000000000013,7218510000000003,4
5300000000000013,7218510000000006,15
5300000000000013,7218510000000007,15
5300000000000013,7218510000000008,15
5300000000000013,7218530000000006,10
5300000000000014,0619720100000001,15
5300000000000014,1219700000000008,10
5300000000000014,3919730200000015,10
5300000000000014,3919730200000016,10
5300000000000014,4100000000000031,4
5300000000000014,5300000000000014,3835
5300000000000014,5300000000000015,260
5300000000000014,5319820100000001,495
5300000000000014,5319820100000002,900
5300000000000014,5319820100000003,705
5300000000000014,5319820100000004,95
5300000000000014,5319820100000005,300
5300000000000014,5319820100000006,15
5300000000000014,5319820100000007,4
5300000000000014,5319820100000008,20
5300000000000014,5319820200000016,15
5300000000000014,5319820200000017,45
5300000000000014,5319820200000018,70
5300000000000014,5319820200000019,10
5300000000000014,5319820200000021,10
5300000000000014,5319910000000006,10
5300000000000014,5319910000000008,20
5300000000000014,5319910000000009,20
5300000000000014,5319910000000011,25
5300000000000014,5319910000000015,15
5300000000000014,5319910000000017,20
5300000000000014,5319910000000018,15
5300000000000014,5319910000000020,40
5300000000000014,5319910000000022,35
5300000000000014,5319910000000023,65
5300000000000014,5319910000000026,10
5300000000000014,5319910000000028,50
5300000000000014,5319910000000029,10
5300000000000014,5319910000000031,10
5300000000000014,5319910000000035,10
5300000000000014,5319910000000038,35
5300000000000014,5319910000000039,4
5300000000000014,5319910000000041,10
5300000000000014,5319910000000044,4
5300000000000014,5319910000000047,4
5300000000000014,5319910000000051,10
5300000000000014,5319910000000062,20
5300000000000014,5319910000000074,15
5300000000000014,5319910000000089,10
5300000000000014,5319910000000090,15
5300000000000014,5319910000000092,20
5300000000000014,5319910000000093,40
5300000000000014,5319910000000094,55
5300000000000014,5319910000000097,15
5300000000000014,5319910000000099,45
5300000000000014,5319910000000103,4
5300000000000014,5319910000000105,30
5300000000000014,5319910000000113,60
5300000000000014,5319910000000114,15
5300000000000014,5319910000000115,55
5300000000000014,5319910000000118,65
5300000000000014,7218510000000004,10
5300000000000014,7218530000000001,15
5300000000000015,0619720100000002,15
5300000000000015,2277463000000039,15
5300000000000015,5300000000000014,1365
5300000000000015,5300000000000015,1625
5300000000000015,5319820100000001,140
5300000000000015,5319820100000002,295
5300000000000015,5319820100000003,255
5300000000000015,5319820100000004,80
5300000000000015,5319820100000005,60
5300000000000015,5319820100000006,105
5300000000000015,5319820100000007,30
5300000000000015,5319820100000008,30
5300000000000015,5319820200000017,45
5300000000000015,5319820200000018,10
5300000000000015,5319910000000001,10
5300000000000015,5319910000000002,10
5300000000000015,5319910000000005,10
5300000000000015,5319910000000006,15
5300000000000015,5319910000000008,15
5300000000000015,5319910000000009,65
5300000000000015,5319910000000011,115
5300000000000015,5319910000000012,4
5300000000000015,5319910000000014,105
5300000000000015,5319910000000016,15
5300000000000015,5319910000000017,10
5300000000000015,5319910000000019,35
5300000000000015,5319910000000020,70
5300000000000015,5319910000000021,20
5300000000000015,5319910000000022,105
5300000000000015,5319910000000023,110
5300000000000015,5319910000000025,15
5300000000000015,5319910000000031,4
5300000000000015,5319910000000033,20
5300000000000015,5319910000000037,20
5300000000000015,5319910000000038,4
5300000000000015,5319910000000046,25
5300000000000015,5319910000000050,30
5300000000000015,5319910000000056,10
5300000000000015,5319910000000059,10
5300000000000015,5319910000000063,15
5300000000000015,5319910000000065,15
5300000000000015,5319910000000069,10
5300000000000015,5319910000000088,30
5300000000000015,5319910000000089,200
5300000000000015,5319910000000092,130
5300000000000015,5319910000000093,15
5300000000000015,5319910000000094,40
5300000000000015,5319910000000096,40
5300000000000015,5319910000000097,25
5300000000000015,5319910000000099,35
5300000000000015,5319910000000100,10
5300000000000015,5319910000000102,50
5300000000000015,5319910000000105,85
5300000000000015,5319910000000112,65
5300000000000015,5319910000000113,475
5300000000000015,5319910000000114,20
5300000000000015,5319910000000115,120
5300000000000015,5319910000000116,200
5300000000000015,5319910000000117,245
5300000000000015,5319910000000118,875
