id,lng,lat
3419820000000130,-74.0541826082,40.2102899494
3419820000000138,-74.034896886,40.2595476469
3419820000000203,-74.5392163335,40.6241910456
3419820000000210,-74.7151888328,40.5194111963
3419820000000201,-74.6387783883,40.6937626717
3419820000000204,-74.6322482864,40.5917650602
3419820000000208,-74.5756287402,40.6653156103
3419820000000207,-74.6638745908,40.4376839219
3419820000000212,-74.6059574706,40.5706853709
3419820000000205,-74.6230110361,40.5289988783
3419820000000084,-74.0847671447,40.7111592435
3419820000000071,-74.0814690152,40.7303642657
3419820000000079,-74.0286041317,40.74733853
3419820000000065,-74.0371690854,40.7432165445
3419820000000233,-74.2055790044,40.6761583177
3419820000000232,-74.2032800557,40.6577526073
3619820100001010,-73.9835042723,40.7557332682
3419820000000078,-74.0013204052,40.8005643283
3419820000000075,-74.0097141272,40.7916303416
3619820100001009,-73.9757310718,40.7427327455
3619820100001012,-73.9933322151,40.7647418279
3619820100001011,-73.9686554217,40.7528092954
3619820100001016,-73.9577357235,40.7663158818
3619820100001015,-73.9611737228,40.7747306654
3619820100002040,-73.934345844,40.5906054397
3619820100002039,-73.9609384458,40.5805404031
3619820100002036,-73.9643335006,40.5999536384
3619820100004017,-73.8485447289,40.8321262155
3619820100004018,-73.8579842831,40.8377473644
3619820100002026,-73.9886700615,40.6309566581
3419820000000134,-74.4855013731,40.181186735
3419820000000131,-74.256823653,40.3426122344
3419820000000124,-74.0734925909,40.3955044416
3419820000000137,-74.1487189315,40.3663093463
3619820100002031,-73.9952264659,40.6123353963
3619820100002033,-73.9830289884,40.6018239594
3619820100002034,-73.9703388372,40.6173227248
3419820000000141,-74.3362593532,40.3124943569
3419820000000144,-74.2665095292,40.2485515723
3419820000000142,-74.2872177061,40.1826574528
3419820000000133,-74.1861110508,40.1858043146
3419820000000132,-74.2901591464,40.2646408513
3419820000000140,-74.0982737181,40.1677903163
3419820000000139,-74.0405813973,40.1337453764
3419820000000127,-74.1439222756,40.2855069026
3419820000000136,-74.3468972168,40.2675505281
3419820000000126,-74.0511544305,40.3098202117
3419820000000125,-74.0046573845,40.3629558026
3419820000000129,-74.0077520602,40.224880525
3419820000000128,-73.9901444799,40.2955951463
3619820100002035,-73.9568261807,40.6209251585
3419820000000122,-74.2287332045,40.4146960831
3419820000000123,-74.1724857765,40.440570928
3419820000000135,-74.1711292192,40.4265297239
3419820000000143,-74.0713593444,40.4189012871
3619820100002023,-73.9609693603,40.6379013703
3619820100002041,-73.948135118,40.6049132028
3419820000000228,-74.4167551713,40.6849933706
3419820000000218,-74.1777704102,40.6651871594
3419820000000234,-74.4261534319,40.6045546949
3419820000000221,-74.2353175912,40.6245949277
3419820000000223,-74.3047656982,40.6239423528
3419820000000225,-74.3433763122,40.6516367425
3419820000000227,-74.37543411,40.6339972625
3419820000000226,-74.4064951002,40.6250729058
3419820000000222,-74.280819655,40.6077767026
3419820000000224,-74.3060514316,40.6558458666
3419820000000229,-74.3408775729,40.6913694665
3419820000000235,-74.3648385332,40.7154346456
3619820100002015,-73.9392836127,40.674466683
3419820000000230,-74.2620680324,40.6566846551
3419820000000219,-74.2177446209,40.6594871844
3419820000000231,-74.2854222907,40.695048581
3419820000000237,-74.2518421216,40.6865105825
3419820000000236,-74.2266083292,40.6949423516
3419820000000220,-74.234300333,40.6652150723
3419820000000087,-74.9329348245,40.6810500463
3419820000000088,-74.8230819133,40.6222568597
3419820000000089,-74.8512970739,40.4198272033
3419820000000091,-74.8559228652,40.516075616
3419820000000157,-74.7112805207,40.7833452754
3419820000000064,-74.0224923839,40.7965461117
3419820000000074,-74.0192832429,40.7829096697
3419820000000076,-74.0309270753,40.7711223886
3419820000000077,-74.0576992033,40.7833752521
3419820000000197,-74.1368590939,40.8812431618
3419820000000183,-74.3069536482,41.0304743596
3619820100001023,-73.9400397948,40.8191983626
3619820100001013,-73.985872299,40.7753137317
3619820100001014,-73.9706459398,40.786838651
3619820100001024,-73.9500970858,40.8278478293
3619820100001018,-73.943470916,40.7888234795
3619820100001019,-73.9324299464,40.798760879
3619820100001021,-73.9638214154,40.808585573
3619820100001020,-73.9512926869,40.8043332051
3419820000000188,-74.1866534426,40.9216543792
3619820100001022,-73.955186152,40.8186641693
3619820100001025,-73.9389710681,40.8429323413
3619820100001027,-73.9196423274,40.8695828709
3619820100001008,-74.0000006992,40.7480768923
3619820100001001,-74.0103534539,40.7080367178
3619820100001003,-73.9947202982,40.7155447132
3619820100001004,-73.9804240819,40.719886686
3619820100001005,-73.9859317382,40.7276201833
3619820100001006,-74.0029573746,40.7334727981
3619820100001002,-74.0056792553,40.7211022868
3619820100001007,-73.9794597701,40.7342440767
3619820100001026,-73.933539959,40.8575774669
3619820100001017,-73.9480415883,40.7776983943
3419820000000039,-74.163830125,40.7225383168
3419820000000069,-74.0621901194,40.7303029447
3419820000000068,-74.0383042704,40.7207791653
3419820000000194,-74.1440843674,40.9259187887
3419820000000072,-74.1447717613,40.770323521
3419820000000063,-74.037932551,40.759886464
3419820000000073,-74.014583556,40.7729993925
3419820000000085,-74.111323058,40.6773959566
3419820000000083,-74.0982947531,40.713550886
3419820000000070,-74.0911588481,40.6949179602
3419820000000067,-74.1198868396,40.6627001624
3419820000000081,-74.0624254867,40.7519072166
3419820000000082,-74.048953815,40.7419108924
3419820000000086,-74.0660782538,40.6971002355
3419820000000066,-74.1010483057,40.6632826357
3419820000000080,-74.0469920178,40.7253732449
3419820000000062,-74.1205407105,40.747932862
3619820100003050,-73.7549565378,40.6012228445
3619820100003044,-73.7845661542,40.7839104178
3419820000000195,-74.1431515856,40.9042876249
3419820000000185,-74.2612870393,40.927754342
3419820000000182,-74.3610772105,41.1052523492
3419820000000160,-74.3418963404,40.9169811691
3419820000000192,-74.1623767977,40.879338165
3419820000000193,-74.1188711184,40.8642179984
3419820000000187,-74.2123285792,40.8918916488
3419820000000189,-74.1674223694,40.9014101992
3419820000000199,-74.1327822614,40.8658524683
3419820000000196,-74.1577608805,40.9251730058
3419820000000191,-74.1611276099,40.8512616872
3419820000000198,-74.133050818,40.8494752614
3419820000000184,-74.2351554559,40.9605581144
3419820000000200,-74.1744213613,40.9410711825
3619820100003003,-73.9196345364,40.7614730742
3419820000000186,-74.1738454399,40.9632500907
3619820100003006,-73.9031420889,40.7513220157
3419820000000190,-74.167672784,40.9139454147
3619820100003026,-73.7909980204,40.6789505842
3619820100003030,-73.7909868969,40.6944262468
3619820100003038,-73.7968918737,40.7524535924
3619820100003034,-73.7767073956,40.7280333213
3619820100003040,-73.7515589888,40.7458539459
3619820100003043,-73.7370598701,40.7637205175
0900000000000002,-73.4134472871,41.4461713969
0900000000000001,-73.4983993597,41.1308929654
0900000000000007,-73.2308490314,41.2436926559
4219650100000606,-74.8060706407,40.3464285604
4219650100000604,-74.6441360176,40.3170719198
4219650100000602,-74.6764599719,40.2045610526
4219650100000605,-74.7535820322,40.2829285593
4219650100000601,-74.7639943314,40.2237289962
4219650100000603,-74.5627853592,40.2396292009
3419820000000202,-74.4534773942,40.6254145986
3419820000000209,-74.5004913505,40.5043242457
3419820000000211,-74.5690086634,40.4472603858
3419820000000206,-74.5473710214,40.5336029575
3619820100004019,-73.8507377588,40.8467316009
3619820100004020,-73.8543172393,40.854409567
3619820100004031,-73.8649036239,40.8640003045
3619820100004032,-73.8474354943,40.8644750034
3619820100004002,-73.8867508772,40.8063806545
3619820100004003,-73.8989548994,40.819694359
3619820100004021,-73.8785006709,40.8578081368
3619820100004035,-73.8210015803,40.8488623626
3619820100004028,-73.8790464718,40.8771283116
3619820100002004,-73.9250834286,40.6964421284
3619820100002006,-73.9318884804,40.6881682663
3619820100009042,-73.6910054499,40.8405399808
3619820100002005,-73.9177553458,40.700526609
3619820100002003,-73.9363422391,40.71552325
3619820100009007,-73.7055273648,40.6714480548
3619820100009009,-73.6844351546,40.6359950562
3619820100002042,-73.9039910375,40.6058218998
3619820100009010,-73.7210988043,40.6418256849
3619820100009005,-73.7060955992,40.6990828265
3619820100009034,-73.6283447203,40.8592360254
3619820100009033,-73.5658178521,40.8832786087
3619820100009031,-73.4888412168,40.8367208894
3619820100009038,-73.6214293922,40.7877811999
3619820100002043,-73.9300842886,40.6262927807
3619820100009040,-73.689189815,40.7861665729
3619820100009039,-73.6513720445,40.7645479024
3619820100009037,-73.6816038221,40.7433219731
3619820100009003,-73.6458158219,40.7256055618
3619820100009006,-73.6774871437,40.7001815983
3619820100009004,-73.6503045749,40.690273914
3619820100009008,-73.6730153806,40.6644275506
3619820100009011,-73.7291909328,40.6131839488
3619820100009013,-73.6413742769,40.6330174626
3619820100009016,-73.5855238522,40.6536209817
3619820100009015,-73.6093292905,40.6572939601
3619820100002018,-73.9222507291,40.6523866562
3619820100009017,-73.5549415817,40.6587174167
3619820100009025,-73.4459067938,40.653132551
3619820100009022,-73.5102198759,40.6690220048
3619820100009001,-73.6049317935,40.590983444
3619820100002017,-73.9102692892,40.6640101867
3619820100009002,-73.7036044937,40.7192208083
