O,D,VAL
3619820100001008,3619820100001011,2385
3619820100001008,3619820100001012,695
3619820100001008,3619820100001013,450
3619820100001008,3619820100001014,365
3619820100001008,3619820100001015,935
3619820100001008,3619820100001016,375
3619820100001008,3619820100001017,240
3619820100001008,3619820100001018,155
3619820100001008,3619820100001019,110
3619820100001008,3619820100001021,395
3619820100001008,3619820100001023,130
3619820100001008,3619820100001025,220
3619820100001008,3619820100002011,425
3619820100001008,3619820100002012,105
3619820100001008,3619820100003001,215
3619820100001008,3619820100004004,105
3619820100001009,0900000000000001,380
3619820100001009,3419820000000001,120
3619820100001009,3419820000000148,120
3619820100001009,3619820100001001,2650
3619820100001009,3619820100001002,1765
3619820100001009,3619820100001005,255
3619820100001009,3619820100001006,775
3619820100001009,3619820100001007,1055
3619820100001009,3619820100001008,2425
3619820100001009,3619820100001009,5570
3619820100001009,3619820100001010,8275
3619820100001009,3619820100001011,3285
3619820100001009,3619820100001012,235
3619820100001009,3619820100001013,330
3619820100001009,3619820100001014,265
3619820100001009,3619820100001015,775
3619820100001009,3619820100001016,350
3619820100001009,3619820100003001,155
3619820100001010,0900000000000001,175
3619820100001010,3619820100001001,1320
3619820100001010,3619820100001002,665
3619820100001010,3619820100001003,115
3619820100001010,3619820100001005,120
3619820100001010,3619820100001006,465
3619820100001010,3619820100001007,360
3619820100001010,3619820100001008,1025
3619820100001010,3619820100001009,880
3619820100001010,3619820100001010,6895
3619820100001010,3619820100001011,1395
3619820100001010,3619820100001012,290
3619820100001010,3619820100001013,290
3619820100001010,3619820100001015,305
3619820100001010,3619820100001021,120
3619820100001011,0900000000000001,285
3619820100001011,3419820000000068,160
3619820100001011,3619820100001001,2935
3619820100001011,3619820100001002,1345
3619820100001011,3619820100001003,320
3619820100001011,3619820100001005,110
3619820100001011,3619820100001006,735
3619820100001011,3619820100001007,290
3619820100001011,3619820100001008,1680
3619820100001011,3619820100001009,1920
3619820100001011,3619820100001010,8300
3619820100001011,3619820100001011,8490
3619820100001011,3619820100001012,315
3619820100001011,3619820100001013,325
3619820100001011,3619820100001015,870
3619820100001011,3619820100001016,440
3619820100001011,3619820100004004,115
3619820100001011,3619820100006007,115
3619820100001012,0900000000000001,155
3619820100001012,3619820100001001,2040
3619820100001012,3619820100001002,1755
3619820100001012,3619820100001003,350
3619820100001012,3619820100001005,205
3619820100001012,3619820100001006,980
3619820100001012,3619820100001007,430
3619820100001012,3619820100001008,2230
3619820100001012,3619820100001009,780
3619820100001012,3619820100001010,7775
3619820100001012,3619820100001011,1845
3619820100001012,3619820100001012,3340
3619820100001012,3619820100001013,975
3619820100001012,3619820100001014,255
3619820100001012,3619820100001015,545
3619820100001012,3619820100001016,265
3619820100001012,3619820100001021,265
3619820100001012,3619820100001025,365
3619820100001012,3619820100002011,215
3619820100001012,3619820100002012,175
3619820100001012,3619820100003001,185
3619820100001012,3619820100003002,115
3619820100001013,0900000000000001,220
3619820100001013,3419820000000068,185
3619820100001013,3619820100001001,2535
3619820100001013,3619820100001002,1285
3619820100001013,3619820100001003,195
3619820100001013,3619820100001005,105
3619820100001013,3619820100001006,670
3619820100001013,3619820100001007,270
3619820100001013,3619820100001008,1935
3619820100001013,3619820100001009,905
3619820100001013,3619820100001010,8845
3619820100001013,3619820100001011,2425
3619820100001013,3619820100001012,685
3619820100001013,3619820100001013,5470
3619820100001013,3619820100001014,505
3619820100001013,3619820100001015,720
3619820100001013,3619820100001016,565
3619820100001013,3619820100001017,110
3619820100001013,3619820100001018,185
3619820100001013,3619820100001021,430
3619820100001013,3619820100001025,440
3619820100001013,3619820100002011,135
3619820100001013,3619820100003002,115
3619820100001014,0900000000000001,300
3619820100001014,3419820000000004,115
3619820100001014,3419820000000030,115
3619820100001014,3419820000000038,125
3619820100001014,3419820000000068,215
3619820100001014,3419820000000077,170
3619820100001014,3619820100001001,5365
3619820100001014,3619820100001002,3490
3619820100001014,3619820100001003,450
3619820100001014,3619820100001004,285
3619820100001014,3619820100001005,380
3619820100001014,3619820100001006,2575
3619820100001014,3619820100001007,1010
3619820100001014,3619820100001008,5005
3619820100001014,3619820100001009,2180
3619820100001014,3619820100001010,17060
3619820100001014,3619820100001011,4440
3619820100001014,3619820100001012,1565
3619820100001014,3619820100001013,2255
3619820100001014,3619820100001014,11860
3619820100001014,3619820100001015,2155
3619820100001014,3619820100001016,1000
3619820100001014,3619820100001017,565
3619820100001014,3619820100001018,675
3619820100001014,3619820100001019,210
3619820100001014,3619820100001020,230
3619820100001014,3619820100001021,1240
3619820100001014,3619820100001022,185
3619820100001014,3619820100001023,310
3619820100001014,3619820100001025,1230
3619820100001014,3619820100001026,110
3619820100001014,3619820100001027,205
3619820100001014,3619820100002011,460
3619820100001014,3619820100002012,445
3619820100001014,3619820100002014,120
3619820100001014,3619820100003001,495
3619820100001014,3619820100003002,110
3619820100001014,3619820100004002,110
3619820100001014,3619820100004024,120
3619820100001014,3619820100004028,130
3619820100001014,3619820100006004,105
3619820100001014,3619820100006007,115
3619820100001014,3619820100006008,110
