MPOCE10,TADCE10,GEOID10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
53200302,0000TAD2,532003020000TAD2,G6300,S,94058556,3872132,+47.4564123,-120.2713822
53198202,00000017,5319820200000017,G6300,S,31671203,12498496,+46.9719346,-123.8423126
53198202,00000018,5319820200000018,G6300,S,1610486961,196718093,+46.9048173,-123.6169834
53198202,00000016,5319820200000016,G6300,S,3284067705,625741057,+47.2539849,-123.9286203
53198202,00000025,5319820200000025,G6300,S,27693233,6188004,+46.1247126,-122.9512108
53198202,00000024,5319820200000024,G6300,S,26797855,316653,+46.1639268,-122.9559258
53198202,00000023,5319820200000023,G6300,S,1270416077,74311328,+46.2875773,-123.2610662
53198202,00000027,5319820200000027,G6300,S,2204017127,36925243,+46.1806241,-122.5635580
53198202,00000026,5319820200000026,G6300,S,106158813,11446419,+46.0897900,-122.8478340
53198201,00000001,5319820100000001,G6300,S,83177616,41002710,+47.1243935,-122.9611148
53198201,00000002,5319820100000002,G6300,S,70851970,22563303,+47.1082924,-122.8706226
53198201,00000005,5319820100000005,G6300,S,84627643,22193816,+47.0791473,-122.7992932
53198201,00000006,5319820100000006,G6300,S,75384854,17506660,+47.0584702,-122.7293969
53198201,00000008,5319820100000008,G6300,S,401002355,10179697,+46.8772125,-122.5731282
53198201,00000007,5319820100000007,G6300,S,709641298,11950546,+46.8287770,-122.8534759
53198201,00000003,5319820100000003,G6300,S,386207528,6815740,+46.9749978,-123.0634649
53198201,00000004,5319820100000004,G6300,S,58978224,1279105,+46.9875934,-122.8447750
53198202,00000019,5319820200000019,G6300,S,2415578641,752977100,+46.5565866,-123.7824193
53200302,0000TAD3,532003020000TAD3,G6300,S,3852919660,34193124,+47.6746943,-120.6918361
53200302,0000TAD1,532003020000TAD1,G6300,S,70787213,2327120,+47.4277664,-120.3719041
53199100,00000116,5319910000000116,G6300,S,19397548,6210021,+47.6191387,-122.6522124
53199100,00000118,5319910000000118,G6300,S,14413367,8368971,+47.5697558,-122.6552135
53199100,00000115,5319910000000115,G6300,S,282111643,64805823,+47.5853436,-122.8302240
53199100,00000120,5319910000000120,G6300,S,220529924,8919439,+47.4542668,-122.6688975
53199100,00000112,5319910000000112,G6300,S,217307458,171028113,+47.8102378,-122.5591910
53199100,00000113,5319910000000113,G6300,S,87061380,21296837,+47.6972375,-122.6801573
53199100,00000119,5319910000000119,G6300,S,89589068,54533516,+47.5179630,-122.5700529
53199100,00000117,5319910000000117,G6300,S,20985307,8911782,+47.6113967,-122.6081424
53199100,00000114,5319910000000114,G6300,S,71512406,98740263,+47.6527770,-122.5156273
72050400,00000011,7205040000000011,G6300,S,4498283368,113771162,+48.8277085,-121.5613361
72050400,00000013,7205040000000013,G6300,S,171005316,507594356,+48.9126728,-122.8814324
72050400,00000001,7205040000000001,G6300,S,204928457,372349829,+48.7740767,-122.6746765
72050400,00000006,7205040000000006,G6300,S,209051870,25997956,+48.7033745,-122.3618176
72050400,00000014,7205040000000014,G6300,S,29197824,2111059,+48.7883125,-122.5108040
72050400,00000003,7205040000000003,G6300,S,19828366,1323670,+48.7287273,-122.4864578
72050400,00000005,7205040000000005,G6300,S,44584948,1271190,+48.7858336,-122.4072405
72050400,00000004,7205040000000004,G6300,S,279854672,2803973,+48.9098443,-122.4806131
53198202,00000021,5319820200000021,G6300,S,150600998,2433690,+46.6982875,-122.9592961
53198202,00000022,5319820200000022,G6300,S,4571332605,80493863,+46.5604025,-122.1255255
53198202,00000020,5319820200000020,G6300,S,1501295961,3709357,+46.5697408,-123.1333323
41000000,00000001,4100000000000001,G6300,S,111552746,514978982,+46.0723728,-123.9735632
72185100,00000003,7218510000000003,G6300,S,127819630,369793816,+48.5305812,-122.6027841
72185100,00000004,7218510000000004,G6300,S,266385431,26646846,+48.4702850,-122.4291068
72185100,00000002,7218510000000002,G6300,S,247140106,552023,+48.5710710,-122.3080491
72185100,00000001,7218510000000001,G6300,S,3811470324,90490961,+48.4649911,-121.6139336
72185100,00000005,7218510000000005,G6300,S,30999059,1795846,+48.4338088,-122.3107017
72185100,00000008,7218510000000008,G6300,S,118938802,33235060,+48.3374993,-122.6120997
72185100,00000007,7218510000000007,G6300,S,180507373,78360934,+48.1899049,-122.6779307
72185100,00000006,7218510000000006,G6300,S,240452412,688500320,+48.1360940,-122.5436302
53199100,00000050,5319910000000050,G6300,S,14434651,11238761,+47.6292196,-122.2267453
53199100,00000052,5319910000000052,G6300,S,17959566,2478437,+47.6708620,-122.1913937
53199100,00000058,5319910000000058,G6300,S,18892560,1844485,+47.7565550,-122.2973450
53199100,00000057,5319910000000057,G6300,S,21176320,16138377,+47.7528138,-122.3780842
53199100,00000059,5319910000000059,G6300,S,17438599,1725086,+47.7525024,-122.2426644
53199100,00000039,5319910000000039,G6300,S,305253923,1666743,+47.4405396,-121.9250529
53199100,00000034,5319910000000034,G6300,S,39647189,836504,+47.3754855,-122.0585788
53199100,00000048,5319910000000048,G6300,S,13193738,5635960,+47.6121838,-122.1135888
53199100,00000054,5319910000000054,G6300,S,75753953,1791641,+47.6693116,-122.0101310
53199100,00000049,5319910000000049,G6300,S,27700742,6430748,+47.6214332,-122.0600103
53199100,00000045,5319910000000045,G6300,S,22287638,2403324,+47.5698905,-122.0415104
53199100,00000046,5319910000000046,G6300,S,68631655,358672,+47.5761515,-121.9794044
53199100,00000038,5319910000000038,G6300,S,1304920945,11845700,+47.2421093,-121.7016301
53199100,00000063,5319910000000063,G6300,S,2153593942,45028555,+47.5958269,-121.4709277
53199100,00000055,5319910000000055,G6300,S,15017030,4367249,+47.7165981,-122.2328020
53199100,00000003,5319910000000003,G6300,S,12234117,14569645,+47.7005477,-122.4014565
53199100,00000001,5319910000000001,G6300,S,11126966,6208491,+47.7223717,-122.3643332
53199100,00000004,5319910000000004,G6300,S,11725915,1033231,+47.6878012,-122.3349532
53199100,00000002,5319910000000002,G6300,S,10564822,4017661,+47.7164054,-122.2903643
53199100,00000060,5319910000000060,G6300,S,21931618,4544,+47.7557848,-122.1867173
53199100,00000056,5319910000000056,G6300,S,11937205,3768738,+47.6988941,-122.2012288
53199100,00000061,5319910000000061,G6300,S,47332063,272829,+47.7400001,-122.1213025
53199100,00000053,5319910000000053,G6300,S,25276358,27137,+47.6859630,-122.1375617
53199100,00000051,5319910000000051,G6300,S,21304149,1494069,+47.6410054,-122.1458966
53199100,00000044,5319910000000044,G6300,S,22737018,3820045,+47.5696740,-122.1306910
53199100,00000047,5319910000000047,G6300,S,20162003,4083954,+47.5939834,-122.1806427
53199100,00000042,5319910000000042,G6300,S,63418740,0,+47.5231809,-122.0860344
53199100,00000041,5319910000000041,G6300,S,21250509,965001,+47.5289995,-122.1797764
53199100,00000040,5319910000000040,G6300,S,47379206,168049,+47.4781060,-122.1074401
53199100,00000020,5319910000000020,G6300,S,37943854,4807089,+47.4792770,-122.2151905
53199100,00000037,5319910000000037,G6300,S,48676833,3852736,+47.4232047,-122.1215471
53199100,00000036,5319910000000036,G6300,S,17016701,278299,+47.4284512,-122.1838478
53199100,00000033,5319910000000033,G6300,S,21748545,668504,+47.3670975,-122.1304508
53199100,00000032,5319910000000032,G6300,S,137232682,4196526,+47.3114547,-122.0634591
53199100,00000030,5319910000000030,G6300,S,36129432,339931,+47.2775514,-122.2106667
53199100,00000028,5319910000000028,G6300,S,14165118,163997,+47.3172027,-122.3165781
53199100,00000029,5319910000000029,G6300,S,41318320,883231,+47.3055351,-122.2804086
53199100,00000021,5319910000000021,G6300,S,119289001,143379690,+47.4206653,-122.4355634
53199100,00000024,5319910000000024,G6300,S,11002407,5186848,+47.3903432,-122.3193007
53199100,00000026,5319910000000026,G6300,S,15950143,20509696,+47.3499175,-122.3479020
53199100,00000027,5319910000000027,G6300,S,26350699,6230116,+47.3032162,-122.3669703
53199100,00000062,5319910000000062,G6300,S,131158833,1894153,+47.7339245,-121.9830872
53199100,00000006,5319910000000006,G6300,S,8212604,2088607,+47.6712724,-122.3834331
53199100,00000008,5319910000000008,G6300,S,13121929,34337056,+47.6435412,-122.4200412
53199100,00000015,5319910000000015,G6300,S,20260355,44408864,+47.5495143,-122.4234966
53199100,00000023,5319910000000023,G6300,S,39870224,981685,+47.4230035,-122.2545901
53199100,00000022,5319910000000022,G6300,S,24811006,453907,+47.4436741,-122.3021306
53199100,00000025,5319910000000025,G6300,S,28765651,361138,+47.3725689,-122.2315176
53199100,00000031,5319910000000031,G6300,S,32780138,514950,+47.3388509,-122.2063822
53199100,00000035,5319910000000035,G6300,S,10114005,94359,+47.4018061,-122.1848401
53199100,00000018,5319910000000018,G6300,S,10024788,1145872,+47.5019031,-122.3531391
53199100,00000016,5319910000000016,G6300,S,18788829,3803365,+47.5547241,-122.3564980
53199100,00000005,5319910000000005,G6300,S,18403516,11081968,+47.6771328,-122.2709165
53199100,00000007,5319910000000007,G6300,S,10899460,1503302,+47.6584882,-122.3203155
53199100,00000010,5319910000000010,G6300,S,8405758,4521646,+47.6300953,-122.2934360
53199100,00000013,5319910000000013,G6300,S,8221731,4773885,+47.6086018,-122.2899397
53199100,00000014,5319910000000014,G6300,S,19438203,5179241,+47.5760957,-122.3059825
53199100,00000043,5319910000000043,G6300,S,16373805,17579682,+47.5677164,-122.2327755
53199100,00000017,5319910000000017,G6300,S,29972979,7189021,+47.5341831,-122.2822543
53199100,00000019,5319910000000019,G6300,S,22199470,690729,+47.4947651,-122.3004145
53199100,00000009,5319910000000009,G6300,S,9774269,1265008,+47.6352829,-122.3513658
53199100,00000011,5319910000000011,G6300,S,3434435,6880471,+47.6067909,-122.3618298
53199100,00000012,5319910000000012,G6300,S,3162059,0,+47.6134844,-122.3210952
