,Company,Address,LOC,LAT,LNG
1, Station 124 on I-25, , ,39.356084, -104.869004
2, Station 12 on I-25, , ,39.512515, -104.869866
3, Station 520 on I-25, , ,38.843892, -104.830394
4, Station 107556 on SH83, , ,38.978525, -104.756249
