id,Zone,Area,BlockStart,BlockEnd,PayBoxAddress,Dir,StreetName,StreetSU,Address,LOC,LAT,LNG,ExistingRevenue,RevenueValue,FineLevel,NumberSpaces,Required,FullUtilizationAmount,2013_2014FullUtilization,UtilizationRate,Impacted
1030,1,522,4546,4552,4550,N,LINCOLN,AVE,"4550 N LINCOLN AVE, Chicago, IL","(41.9645378, -87.6859008)",41.9645378,-87.6859008,29326.91,29326.91,50,3,Non-CBD,26292,8764,1.1154,Impacted
1031,1,495,4608,4634,4628,N,LINCOLN,AVE,"4628 N LINCOLN AVE, Chicago, IL","(41.9656375, -87.68661379999999)",41.9656375,-87.68661379999999,39890.58,39890.58,50,9,Non-CBD,78876,8764,0.5057,Impacted
1032,1,495,4605,4625,4613,N,LINCOLN,AVE,"4613 N LINCOLN AVE, Chicago, IL","(41.96546499999999, -87.686095)",41.96546499999999,-87.686095,71844.36,71844.36,50,11,Non-CBD,96404,8764,0.7452,Impacted
1033,1,495,4644,4664,4650,N,LINCOLN,AVE,"4650 N LINCOLN AVE, Chicago, IL","(41.9662241, -87.686994)",41.9662241,-87.686994,32052.57,32052.57,50,5,Non-CBD,43820,8764,0.7315,Impacted
1034,1,495,4633,4649,4645,N,LINCOLN,AVE,"4645 N LINCOLN AVE, Chicago, IL","(41.9660932, -87.6866697)",41.9660932,-87.6866697,39851.16,39851.16,50,6,Non-CBD,52584,8764,0.7579,Impacted
1035,1,495,4703,4737,4723,N,LINCOLN,AVE,"4723 N LINCOLN AVE, Chicago, IL","(41.96723540000001, -87.68764499999999)",41.96723540000001,-87.68764499999999,63458.93,63458.93,50,9,Non-CBD,78876,8764,0.8045,Impacted
1036,1,495,4703,4737,4719,N,LINCOLN,AVE,"4719 N LINCOLN AVE, Chicago, IL","(41.9672282, -87.687417)",41.9672282,-87.687417,66508.89,66508.89,50,9,Non-CBD,78876,8764,0.8432,Impacted
1037,1,495,4741,4797,4757,N,LINCOLN,AVE,"4757 N LINCOLN AVE, Chicago, IL","(41.96820109999999, -87.68803439999999)",41.96820109999999,-87.68803439999999,109381.99,109381.99,50,15,Non-CBD,131460,8764,0.8321,Impacted
1038,1,495,4741,4797,4749,N,LINCOLN,AVE,"4749 N LINCOLN AVE, Chicago, IL","(41.9680622, -87.6877883)",41.9680622,-87.6877883,102585.19,102585.19,50,12,Non-CBD,105168,8764,0.9754,Impacted
1039,1,494,4819,4845,4831,N,LINCOLN,AVE,"4831 N LINCOLN AVE, Chicago, IL","(41.9697208, -87.6891959)",41.9697208,-87.6891959,2477.16,2477.16,50,11,Non-CBD,96404,8764,0.0257,Impacted
